baseline,rssi_sigma,path_loss_exponent,mac,n,rmse,rmse_ci95_low,rmse_ci95_high,mean_error,mean_error_ci95_low,mean_error_ci95_high,max_observed_error,mean_max_error_global,mean_max_error_global_ci95_low,mean_max_error_global_ci95_high
30,3,3.2,00:02,30,1.761700083838779e+95,0.0,inf,3.2164095852373868e+94,-3.361148015910388e+94,9.79396718638516e+94,9.649228754772416e+95,1.8290537511527437e+106,-1.911361166801125e+106,5.569468669106612e+106
30,3,3.2,00:03,30,1.001813997579337e+107,0.0,inf,1.8290537511527437e+106,-1.911361166801125e+106,5.569468669106612e+106,5.487161248986288e+107,1.8290537511527437e+106,-1.911361166801125e+106,5.569468669106612e+106
30,3,3.2,00:04,30,1.733639760532451e+95,0.0,inf,3.165178701473293e+94,-3.307611693603408e+94,9.637969096549994e+94,9.495536034314778e+95,1.8290537511527437e+106,-1.911361166801125e+106,5.569468669106612e+106
30,3,3.5,00:02,30,9.446409052554548e+48,0.0,1.648391612888217e+49,1.7246704418350433e+48,-1.80228061171762e+48,5.251621495387706e+48,5.17401132550513e+49,1.9060130500287807e+70,-1.991783637280075e+70,5.803809737337637e+70
30,3,3.5,00:03,30,1.0439663423999859e+71,0.0,1.8217137892036977e+71,1.9060130500287807e+70,-1.991783637280075e+70,5.803809737337637e+70,5.718039150086342e+71,1.9060130500287807e+70,-1.991783637280075e+70,5.803809737337637e+70
30,3,3.5,00:04,30,1.00313760062952e+53,0.0,1.7504679272843318e+53,1.8314703071546552e+52,-1.913886470976615e+52,5.576827085285925e+52,5.494410921463966e+53,1.9060130500287807e+70,-1.991783637280075e+70,5.803809737337637e+70
30,3,3.8,00:02,30,8.324955566389038,8.11983111671146,8.525145922551003,8.30705854063392,8.099874085638499,8.51424299562934,9.05752900005939,456180349.4327932,-475102676.3083932,1387463375.1739795
30,3,3.8,00:03,30,2494445293.9419646,0.0,4352785079.054684,456180345.87661076,-475102680.11578035,1387463371.8690019,13662621079.82373,456180349.4327932,-475102676.3083932,1387463375.1739795
30,3,3.8,00:04,30,18.97619701498605,0.0,27.3198415246497,12.917835041183356,7.639139237642746,18.196530844723966,75.28306486990122,456180349.4327932,-475102676.3083932,1387463375.1739795
30,3,4.1,00:02,30,8.537349149171085,8.329002367371121,8.740731122396499,8.520120904913036,8.314260827204155,8.725980982621916,9.426824401333546,18.785986749310503,15.030550120502888,22.541423378118118
30,3,4.1,00:03,30,17.474467813738144,12.221700161659301,21.478922130899345,12.846784994387585,8.348471937949512,17.34509805082566,35.45269281928819,18.785986749310503,15.030550120502888,22.541423378118118
30,3,4.1,00:04,30,14.308287047228008,7.209271086593193,18.90715649831452,11.923771186857937,8.920388969700502,14.927153404015373,48.37885238012,18.785986749310503,15.030550120502888,22.541423378118118
