# Tiempo(s), X(m), Y(m), Theta_Yaw(rad)
466.40, 42.07, 50.00, 3.14
466.60, 41.91, 50.00, 3.14
466.80, 41.74, 50.00, 3.14
467.00, 41.57, 50.00, 3.14
467.20, 41.40, 50.00, 3.14
467.40, 41.23, 50.00, 3.14
467.60, 41.06, 50.00, 3.14
467.80, 40.89, 50.00, 3.14
468.00, 40.72, 50.00, 3.14
468.20, 40.55, 50.00, 3.14
468.40, 40.38, 50.00, 3.14
468.60, 40.21, 50.00, 3.14
468.80, 40.04, 50.00, 3.14
469.00, 39.87, 50.00, 3.14
469.20, 39.70, 50.00, 3.14
469.40, 39.53, 50.00, 3.14
469.60, 39.36, 50.00, 3.14
469.80, 39.19, 50.00, 3.14
470.00, 39.02, 50.00, 3.14
470.20, 38.85, 50.00, 3.14
470.40, 38.68, 50.00, 3.14
470.60, 38.51, 50.00, 3.14
470.80, 38.34, 50.00, 3.14
471.00, 38.18, 50.00, 3.14
471.20, 38.01, 50.00, 3.14
471.40, 37.84, 50.00, 3.14
471.60, 37.67, 50.00, 3.14
471.80, 37.50, 50.00, 3.14
472.00, 37.33, 50.00, 3.14
472.20, 37.16, 50.00, 3.14
472.40, 36.99, 50.00, 3.14
472.60, 36.82, 50.00, 3.14
472.80, 36.65, 50.00, 3.14
473.00, 36.48, 50.00, 3.14
473.20, 36.31, 50.00, 3.14
473.40, 36.14, 50.00, 3.14
473.60, 35.97, 50.00, 3.14
473.80, 35.80, 50.00, 3.14
474.00, 35.63, 50.00, 3.14
474.20, 35.46, 50.00, 3.14
474.40, 35.29, 50.00, 3.14
474.60, 35.12, 50.00, 3.14
474.80, 34.95, 50.00, 3.14
475.00, 34.78, 50.00, 3.14
475.20, 34.61, 50.00, 3.14
475.40, 34.45, 50.00, 3.14
475.60, 34.28, 50.00, 3.14
475.80, 34.11, 50.00, 3.14
476.00, 33.94, 50.00, 3.14
476.20, 33.77, 50.00, 3.14
476.40, 33.60, 50.00, 3.14
476.60, 33.43, 50.00, 3.14
476.80, 33.26, 50.00, 3.14
477.00, 33.09, 50.00, 3.14
477.20, 32.92, 50.00, 3.14
477.40, 32.75, 50.00, 3.14
477.60, 32.58, 50.00, 3.14
477.80, 32.41, 50.00, 3.14
478.00, 32.24, 50.00, 3.14
478.20, 32.07, 50.00, 3.14
478.40, 31.90, 50.00, 3.14
478.60, 31.73, 50.00, 3.14
478.80, 31.56, 50.00, 3.14
479.00, 31.39, 50.00, 3.14
479.20, 31.22, 50.00, 3.14
479.40, 31.05, 50.00, 3.14
479.60, 30.89, 50.00, 3.14
479.80, 30.72, 50.00, 3.14
480.00, 30.55, 50.00, 3.14
480.20, 30.38, 50.00, 3.14
480.40, 30.21, 50.00, 3.14
480.60, 30.04, 50.00, 3.14
480.80, 29.87, 50.00, 3.14
481.00, 29.70, 50.00, 3.14
481.20, 29.53, 50.00, 3.14
481.40, 29.36, 50.00, 3.14
481.60, 29.19, 50.00, 3.14
481.80, 29.02, 50.00, 3.14
482.00, 28.85, 50.00, 3.14
482.20, 28.68, 50.00, 3.14
482.40, 28.51, 50.00, 3.14
482.60, 28.34, 50.00, 3.14
482.80, 28.17, 50.00, 3.14
483.00, 28.00, 50.00, 3.14
483.20, 27.83, 50.00, 3.14
483.40, 27.66, 50.00, 3.14
483.60, 27.49, 50.00, 3.14
483.80, 27.32, 50.00, 3.14
484.00, 27.16, 50.00, 3.14
484.20, 26.99, 50.00, 3.14
484.40, 26.82, 50.00, 3.14
484.60, 26.65, 50.00, 3.14
484.80, 26.48, 50.00, 3.14
485.00, 26.31, 50.00, 3.14
485.20, 26.14, 50.00, 3.14
485.40, 25.97, 50.00, 3.14
485.60, 25.80, 50.00, 3.14
485.80, 25.63, 50.00, 3.14
486.00, 25.46, 50.00, 3.14
486.20, 25.29, 50.00, 3.14
486.40, 25.12, 50.00, 3.14
486.60, 24.95, 50.00, 3.14
486.80, 24.78, 50.00, 3.14
487.00, 24.61, 50.00, 3.14
487.20, 24.44, 50.00, 3.14
487.40, 24.27, 50.00, 3.14
487.60, 24.10, 50.00, 3.14
487.80, 23.93, 50.00, 3.14
488.00, 23.76, 50.00, 3.14
488.20, 23.59, 50.00, 3.14
488.40, 23.43, 50.00, 3.14
488.60, 23.26, 50.00, 3.14
488.80, 23.09, 50.00, 3.14
489.00, 22.92, 50.00, 3.14
489.20, 22.75, 50.00, 3.14
489.40, 22.58, 50.00, 3.14
489.60, 22.41, 50.00, 3.14
489.80, 22.24, 50.00, 3.14
490.00, 22.07, 50.00, 3.14
490.20, 21.90, 50.00, 3.14
490.40, 21.73, 50.00, 3.14
490.60, 21.56, 50.00, 3.14
490.80, 21.39, 50.00, 3.14
491.00, 21.22, 50.00, 3.14
491.20, 21.05, 50.00, 3.14
491.40, 20.88, 50.00, 3.14
491.60, 20.71, 50.00, 3.14
491.80, 20.54, 50.00, 3.14
492.00, 20.37, 50.00, 3.14
492.20, 20.20, 50.00, 3.14
492.40, 20.03, 50.00, 3.14
492.60, 19.86, 50.00, 3.14
492.80, 19.70, 50.00, 3.14
493.00, 19.53, 50.00, 3.14
493.20, 19.36, 50.00, 3.14
493.40, 19.19, 50.00, 3.14
493.60, 19.02, 50.00, 3.14
493.80, 18.85, 50.00, 3.14
494.00, 18.68, 50.00, 3.14
494.20, 18.51, 50.00, 3.14
494.40, 18.34, 50.00, 3.14
494.60, 18.17, 50.00, 3.14
494.80, 18.00, 50.17, 1.57
495.00, 18.00, 50.34, 1.57
495.20, 18.00, 50.51, 1.57
495.40, 18.00, 50.68, 1.57
495.60, 18.00, 50.85, 1.57
495.80, 18.00, 51.02, 1.57
496.00, 18.00, 51.19, 1.57
496.20, 18.00, 51.36, 1.57
496.40, 18.00, 51.53, 1.57
496.60, 18.00, 51.70, 1.57
496.80, 18.00, 51.87, 1.57
497.00, 18.00, 52.04, 1.57
497.20, 18.00, 52.21, 1.57
497.40, 18.00, 52.38, 1.57
497.60, 18.00, 52.55, 1.57
497.80, 18.00, 52.72, 1.57
498.00, 18.00, 52.89, 1.57
498.20, 18.00, 53.06, 1.57
498.40, 18.00, 53.23, 1.57
498.60, 18.00, 53.40, 1.57
498.80, 18.00, 53.57, 1.57
499.00, 18.00, 53.74, 1.57
499.20, 18.00, 53.91, 1.57
499.40, 18.00, 54.09, 1.57
499.60, 18.00, 54.26, 1.57
499.80, 18.00, 54.43, 1.57
500.00, 18.00, 54.60, 1.57
500.20, 18.00, 54.77, 1.57
500.40, 18.00, 54.94, 1.57
500.60, 18.00, 55.11, 1.57
500.80, 18.00, 55.28, 1.57
501.00, 18.00, 55.45, 1.57
501.20, 18.00, 55.62, 1.57
501.40, 18.00, 55.79, 1.57
501.60, 18.00, 55.96, 1.57
501.80, 18.00, 56.13, 1.57
502.00, 18.00, 56.30, 1.57
502.20, 18.00, 56.47, 1.57
502.40, 18.00, 56.64, 1.57
502.60, 18.00, 56.81, 1.57
502.80, 18.00, 56.98, 1.57
503.00, 18.00, 57.15, 1.57
503.20, 18.00, 57.32, 1.57
503.40, 18.00, 57.49, 1.57
503.60, 18.00, 57.66, 1.57
503.80, 18.00, 57.83, 1.57
504.00, 18.00, 58.00, 1.57
504.20, 18.00, 58.17, 1.57
504.40, 18.00, 58.34, 1.57
504.60, 18.00, 58.51, 1.57
504.80, 18.00, 58.68, 1.57
505.00, 18.00, 58.85, 1.57
505.20, 18.00, 59.02, 1.57
505.40, 18.00, 59.19, 1.57
505.60, 18.00, 59.36, 1.57
505.80, 18.00, 59.53, 1.57
506.00, 18.00, 59.70, 1.57
506.20, 18.00, 59.87, 1.57
506.40, 18.00, 60.04, 1.57
506.60, 18.00, 60.21, 1.57
506.80, 18.00, 60.38, 1.57
507.00, 18.00, 60.55, 1.57
507.20, 18.00, 60.72, 1.57
507.40, 18.00, 60.89, 1.57
507.60, 18.00, 61.06, 1.57
507.80, 18.00, 61.23, 1.57
508.00, 18.00, 61.40, 1.57
508.20, 18.00, 61.57, 1.57
508.40, 18.00, 61.74, 1.57
508.60, 18.00, 61.91, 1.57
508.80, 18.00, 62.09, 1.57
509.00, 18.00, 62.26, 1.57
509.20, 18.00, 62.43, 1.57
509.40, 18.00, 62.60, 1.57
509.60, 18.00, 62.77, 1.57
509.80, 18.00, 62.94, 1.57
510.00, 18.00, 63.11, 1.57
510.20, 18.00, 63.28, 1.57
510.40, 18.00, 63.45, 1.57
510.60, 18.00, 63.62, 1.57
510.80, 18.00, 63.79, 1.57
511.00, 18.00, 63.96, 1.57
511.20, 18.00, 64.13, 1.57
511.40, 18.00, 64.30, 1.57
511.60, 18.00, 64.47, 1.57
511.80, 18.00, 64.64, 1.57
512.00, 18.00, 64.81, 1.57
512.20, 18.00, 64.98, 1.57
512.40, 18.00, 65.15, 1.57
512.60, 18.00, 65.32, 1.57
512.80, 18.00, 65.49, 1.57
513.00, 18.00, 65.66, 1.57
513.20, 18.00, 65.83, 1.57
513.40, 17.83, 66.00, 3.14
513.60, 17.66, 66.00, 3.14
513.80, 17.48, 66.00, 3.14
514.00, 17.31, 66.00, 3.14
514.20, 17.14, 66.00, 3.14
514.40, 16.97, 66.00, 3.14
514.60, 16.79, 66.00, 3.14
514.80, 16.62, 66.00, 3.14
515.00, 16.45, 66.00, 3.14
515.20, 16.28, 66.00, 3.14
515.40, 16.10, 66.00, 3.14
515.60, 15.93, 66.00, 3.14
515.80, 15.76, 66.00, 3.14
516.00, 15.59, 66.00, 3.14
516.20, 15.41, 66.00, 3.14
516.40, 15.24, 66.00, 3.14
516.60, 15.07, 66.00, 3.14
516.80, 14.90, 66.00, 3.14
517.00, 14.72, 66.00, 3.14
517.20, 14.55, 66.00, 3.14
517.40, 14.38, 66.00, 3.14
517.60, 14.21, 66.00, 3.14
517.80, 14.03, 66.00, 3.14
518.00, 13.86, 66.00, 3.14
518.20, 13.69, 66.00, 3.14
518.40, 13.52, 66.00, 3.14
518.60, 13.34, 66.00, 3.14
518.80, 13.17, 66.00, 3.14
519.00, 12.88, 66.12, 2.36
519.20, 12.75, 66.25, 2.36
519.40, 12.62, 66.38, 2.36
519.60, 12.33, 66.50, 3.14
519.80, 12.17, 66.50, 3.14
520.00, 12.00, 66.50, 3.14
520.20, 11.83, 66.50, 3.14
520.40, 11.67, 66.50, 3.14
520.60, 11.38, 66.62, 2.36
520.80, 11.26, 66.74, 2.36
521.00, 11.14, 66.86, 2.36
521.20, 11.02, 66.98, 2.36
521.40, 10.90, 67.10, 2.36
521.60, 10.78, 67.22, 2.36
521.80, 10.66, 67.34, 2.36
522.00, 10.54, 67.46, 2.36
522.20, 10.42, 67.58, 2.36
522.40, 10.30, 67.70, 2.36
522.60, 10.18, 67.82, 2.36
522.80, 10.07, 67.93, 2.36
523.00, 9.95, 68.05, 2.36
523.20, 9.83, 68.17, 2.36
523.40, 9.71, 68.29, 2.36
523.60, 9.59, 68.41, 2.36
523.80, 9.47, 68.53, 2.36
524.00, 9.35, 68.65, 2.36
524.20, 9.23, 68.77, 2.36
524.40, 9.11, 68.89, 2.36
524.60, 8.99, 69.01, 2.36
524.80, 8.87, 69.13, 2.36
525.00, 8.75, 69.25, 2.36
525.20, 8.63, 69.37, 2.36
525.40, 8.51, 69.49, 2.36
525.60, 8.39, 69.61, 2.36
525.80, 8.27, 69.73, 2.36
526.00, 8.15, 69.85, 2.36
526.20, 8.03, 69.97, 2.36
526.40, 7.91, 70.09, 2.36
526.60, 7.79, 70.21, 2.36
526.80, 7.67, 70.33, 2.36
527.00, 7.55, 70.45, 2.36
527.20, 7.43, 70.57, 2.36
527.40, 7.32, 70.68, 2.36
527.60, 7.20, 70.80, 2.36
527.80, 7.08, 70.92, 2.36
528.00, 6.96, 71.04, 2.36
528.20, 6.84, 71.16, 2.36
528.40, 6.72, 71.28, 2.36
528.60, 6.60, 71.40, 2.36
528.80, 6.48, 71.52, 2.36
529.00, 6.36, 71.64, 2.36
529.20, 6.24, 71.76, 2.36
529.40, 6.12, 71.88, 2.36
529.60, 5.83, 72.00, 3.14
529.80, 5.67, 72.00, 3.14
530.00, 5.50, 72.00, 3.14
530.20, 5.33, 72.00, 3.14
530.40, 5.17, 72.00, 3.14
530.60, 5.00, 72.00, 3.14
530.80, 4.83, 72.00, 3.14
531.00, 4.67, 72.00, 3.14
531.20, 4.50, 72.00, 3.14
531.40, 4.33, 72.00, 3.14
531.60, 4.17, 72.00, 3.14
531.80, 4.00, 72.00, 3.14
532.00, 3.83, 72.00, 3.14
532.20, 3.67, 72.00, 3.14
532.40, 3.50, 72.00, 3.14
532.60, 3.33, 72.00, 3.14
532.80, 3.17, 72.00, 3.14
533.00, 3.00, 72.00, 3.14
533.20, 2.83, 72.00, 3.14
533.40, 2.67, 72.00, 3.14
533.60, 2.50, 72.00, 3.14
533.80, 2.33, 72.00, 3.14
534.00, 2.17, 72.00, 3.14
534.20, 2.00, 72.17, 1.57
534.40, 2.00, 72.34, 1.57
534.60, 2.00, 72.51, 1.57
534.80, 2.00, 72.68, 1.57
535.00, 2.00, 72.85, 1.57
535.20, 2.00, 73.02, 1.57
535.40, 2.00, 73.20, 1.57
535.60, 2.00, 73.37, 1.57
535.80, 2.00, 73.54, 1.57
536.00, 2.00, 73.71, 1.57
536.20, 2.00, 73.88, 1.57
536.40, 2.00, 74.05, 1.57
536.60, 2.00, 74.22, 1.57
536.80, 2.00, 74.39, 1.57
537.00, 2.00, 74.56, 1.57
537.20, 2.00, 74.73, 1.57
537.40, 2.00, 74.90, 1.57
537.60, 2.00, 75.07, 1.57
537.80, 2.00, 75.24, 1.57
538.00, 2.00, 75.41, 1.57
538.20, 2.00, 75.59, 1.57
538.40, 2.00, 75.76, 1.57
538.60, 2.00, 75.93, 1.57
538.80, 2.00, 76.10, 1.57
539.00, 2.00, 76.27, 1.57
539.20, 2.00, 76.44, 1.57
539.40, 2.00, 76.61, 1.57
539.60, 2.00, 76.78, 1.57
539.80, 2.00, 76.95, 1.57
540.00, 2.00, 77.12, 1.57
540.20, 2.00, 77.29, 1.57
540.40, 2.00, 77.46, 1.57
540.60, 2.00, 77.63, 1.57
540.80, 2.00, 77.80, 1.57
541.00, 2.00, 77.98, 1.57
541.20, 2.00, 78.15, 1.57
541.40, 2.00, 78.32, 1.57
541.60, 2.00, 78.49, 1.57
541.80, 2.00, 78.66, 1.57
542.00, 2.00, 78.83, 1.57
542.20, 2.00, 79.00, 1.57
542.40, 2.00, 79.17, 1.57
542.60, 2.00, 79.34, 1.57
542.80, 2.00, 79.51, 1.57
543.00, 2.00, 79.68, 1.57
543.20, 2.00, 79.85, 1.57
543.40, 2.00, 80.02, 1.57
543.60, 2.00, 80.20, 1.57
543.80, 2.00, 80.37, 1.57
544.00, 2.00, 80.54, 1.57
544.20, 2.00, 80.71, 1.57
544.40, 2.00, 80.88, 1.57
544.60, 2.00, 81.05, 1.57
544.80, 2.00, 81.22, 1.57
545.00, 2.00, 81.39, 1.57
545.20, 2.00, 81.56, 1.57
545.40, 2.00, 81.73, 1.57
545.60, 2.00, 81.90, 1.57
545.80, 2.00, 82.07, 1.57
546.00, 2.00, 82.24, 1.57
546.20, 2.00, 82.41, 1.57
546.40, 2.00, 82.59, 1.57
546.60, 2.00, 82.76, 1.57
546.80, 2.00, 82.93, 1.57
547.00, 2.00, 83.10, 1.57
547.20, 2.00, 83.27, 1.57
547.40, 2.00, 83.44, 1.57
547.60, 2.00, 83.61, 1.57
547.80, 2.00, 83.78, 1.57
548.00, 2.00, 83.95, 1.57
548.20, 2.00, 84.12, 1.57
548.40, 2.00, 84.29, 1.57
548.60, 2.00, 84.46, 1.57
548.80, 2.00, 84.63, 1.57
549.00, 2.00, 84.80, 1.57
549.20, 2.00, 84.98, 1.57
549.40, 2.00, 85.15, 1.57
549.60, 2.00, 85.32, 1.57
549.80, 2.00, 85.49, 1.57
550.00, 2.00, 85.66, 1.57
550.20, 2.00, 85.83, 1.57
550.40, 1.88, 86.12, 2.36
550.60, 1.75, 86.25, 2.36
550.80, 1.62, 86.38, 2.36
551.00, 1.50, 86.67, 1.57
551.20, 1.50, 86.83, 1.57
551.40, 1.38, 87.12, 2.36
551.60, 1.25, 87.25, 2.36
551.80, 1.12, 87.38, 2.36
552.00, 1.00, 87.67, 1.57
552.20, 1.00, 87.83, 1.57
552.40, 0.88, 88.12, 2.36
552.60, 0.75, 88.25, 2.36
552.80, 0.62, 88.38, 2.36
553.00, 0.50, 88.67, 1.57
553.20, 0.50, 88.83, 1.57
553.40, 0.38, 89.12, 2.36
553.60, 0.25, 89.25, 2.36
553.80, 0.12, 89.38, 2.36
554.00, 0.00, 89.67, 1.57
554.20, 0.00, 89.83, 1.57
554.40, 0.00, 90.00, 1.57
