# Tiempo(s), X(m), Y(m), Z(m)
407.00, 73.00, 62.83, 0.30
407.20, 73.17, 63.00, 0.30
407.40, 73.33, 63.00, 0.30
407.60, 73.50, 63.00, 0.30
407.80, 73.67, 63.00, 0.30
408.00, 73.83, 63.00, 0.30
408.20, 74.00, 63.00, 0.30
408.40, 74.17, 63.00, 0.30
408.60, 74.33, 63.00, 0.30
408.80, 74.50, 63.00, 0.30
409.00, 74.67, 63.00, 0.30
409.20, 74.83, 63.00, 0.30
409.40, 75.00, 63.00, 0.30
409.60, 75.17, 63.00, 0.30
409.80, 75.33, 63.00, 0.30
410.00, 75.50, 63.00, 0.30
410.20, 75.67, 63.00, 0.30
410.40, 75.83, 63.00, 0.30
410.60, 76.00, 63.00, 0.30
410.80, 76.17, 63.00, 0.30
411.00, 76.33, 63.00, 0.30
411.20, 76.50, 63.00, 0.30
411.40, 76.67, 63.00, 0.30
411.60, 76.83, 63.00, 0.30
411.80, 77.00, 63.17, 0.30
412.00, 77.00, 63.33, 0.30
412.20, 77.00, 63.50, 0.30
412.40, 77.00, 63.67, 0.30
412.60, 77.00, 63.83, 0.30
412.80, 77.00, 64.00, 0.30
413.00, 77.00, 64.17, 0.30
413.20, 77.00, 64.33, 0.30
413.40, 77.00, 64.50, 0.30
413.60, 77.00, 64.67, 0.30
413.80, 77.00, 64.83, 0.30
414.00, 77.00, 65.00, 0.30
414.20, 77.00, 65.17, 0.30
414.40, 77.00, 65.33, 0.30
414.60, 77.00, 65.50, 0.30
414.80, 77.00, 65.67, 0.30
415.00, 77.00, 65.83, 0.30
415.20, 77.00, 66.00, 0.30
415.40, 77.00, 66.17, 0.30
415.60, 77.00, 66.33, 0.30
415.80, 77.00, 66.50, 0.30
416.00, 77.00, 66.67, 0.30
416.20, 77.00, 66.83, 0.30
416.40, 76.88, 67.12, 0.30
416.60, 76.75, 67.25, 0.30
416.80, 76.62, 67.38, 0.30
417.00, 76.50, 67.50, 0.30
417.20, 76.38, 67.62, 0.30
417.40, 76.25, 67.75, 0.30
417.60, 76.12, 67.88, 0.30
417.80, 76.00, 68.00, 0.30
418.00, 75.88, 68.12, 0.30
418.20, 75.75, 68.25, 0.30
418.40, 75.62, 68.38, 0.30
418.60, 75.50, 68.67, 0.30
418.80, 75.50, 68.83, 0.30
419.00, 75.38, 69.12, 0.30
419.20, 75.25, 69.25, 0.30
419.40, 75.12, 69.38, 0.30
419.60, 75.00, 69.67, 0.30
419.80, 75.00, 69.83, 0.30
420.00, 74.88, 70.12, 0.30
420.20, 74.75, 70.25, 0.30
420.40, 74.62, 70.38, 0.30
420.60, 74.50, 70.67, 0.30
420.80, 74.50, 70.83, 0.30
421.00, 74.38, 71.12, 0.30
421.20, 74.25, 71.25, 0.30
421.40, 74.12, 71.38, 0.30
421.60, 74.00, 71.67, 0.30
421.80, 74.00, 71.83, 0.30
422.00, 73.83, 72.00, 0.30
422.20, 73.66, 72.00, 0.30
422.40, 73.49, 72.00, 0.30
422.60, 73.32, 72.00, 0.30
422.80, 73.15, 72.00, 0.30
423.00, 72.99, 72.00, 0.30
423.20, 72.82, 72.00, 0.30
423.40, 72.65, 72.00, 0.30
423.60, 72.48, 72.00, 0.30
423.80, 72.31, 72.00, 0.30
424.00, 72.14, 72.00, 0.30
424.20, 71.97, 72.00, 0.30
424.40, 71.80, 72.00, 0.30
424.60, 71.63, 72.00, 0.30
424.80, 71.46, 72.00, 0.30
425.00, 71.30, 72.00, 0.30
425.20, 71.13, 72.00, 0.30
425.40, 70.96, 72.00, 0.30
425.60, 70.79, 72.00, 0.30
425.80, 70.62, 72.00, 0.30
426.00, 70.45, 72.00, 0.30
426.20, 70.28, 72.00, 0.30
426.40, 70.11, 72.00, 0.30
426.60, 69.94, 72.00, 0.30
426.80, 69.77, 72.00, 0.30
427.00, 69.61, 72.00, 0.30
427.20, 69.44, 72.00, 0.30
427.40, 69.27, 72.00, 0.30
427.60, 69.10, 72.00, 0.30
427.80, 68.93, 72.00, 0.30
428.00, 68.76, 72.00, 0.30
428.20, 68.59, 72.00, 0.30
428.40, 68.42, 72.00, 0.30
428.60, 68.25, 72.00, 0.30
428.80, 68.08, 72.00, 0.30
429.00, 67.92, 72.00, 0.30
429.20, 67.75, 72.00, 0.30
429.40, 67.58, 72.00, 0.30
429.60, 67.41, 72.00, 0.30
429.80, 67.24, 72.00, 0.30
430.00, 67.07, 72.00, 0.30
430.20, 66.90, 72.00, 0.30
430.40, 66.73, 72.00, 0.30
430.60, 66.56, 72.00, 0.30
430.80, 66.39, 72.00, 0.30
431.00, 66.23, 72.00, 0.30
431.20, 66.06, 72.00, 0.30
431.40, 65.89, 72.00, 0.30
431.60, 65.72, 72.00, 0.30
431.80, 65.55, 72.00, 0.30
432.00, 65.38, 72.00, 0.30
432.20, 65.21, 72.00, 0.30
432.40, 65.04, 72.00, 0.30
432.60, 64.87, 72.00, 0.30
432.80, 64.70, 72.00, 0.30
433.00, 64.54, 72.00, 0.30
433.20, 64.37, 72.00, 0.30
433.40, 64.20, 72.00, 0.30
433.60, 64.03, 72.00, 0.30
433.80, 63.86, 72.00, 0.30
434.00, 63.69, 72.00, 0.30
434.20, 63.52, 72.00, 0.30
434.40, 63.35, 72.00, 0.30
434.60, 63.18, 72.00, 0.30
434.80, 63.01, 72.00, 0.30
435.00, 62.85, 72.00, 0.30
435.20, 62.68, 72.00, 0.30
435.40, 62.51, 72.00, 0.30
435.60, 62.34, 72.00, 0.30
435.80, 62.17, 72.00, 0.30
436.00, 61.88, 71.88, 0.30
436.20, 61.75, 71.75, 0.30
436.40, 61.62, 71.62, 0.30
436.60, 61.33, 71.50, 0.30
436.80, 61.17, 71.50, 0.30
437.00, 60.88, 71.38, 0.30
437.20, 60.75, 71.25, 0.30
437.40, 60.62, 71.12, 0.30
437.60, 60.50, 71.00, 0.30
437.80, 60.38, 70.88, 0.30
438.00, 60.25, 70.75, 0.30
438.20, 60.12, 70.62, 0.30
438.40, 60.00, 70.50, 0.30
438.60, 59.88, 70.38, 0.30
438.80, 59.75, 70.25, 0.30
439.00, 59.62, 70.12, 0.30
439.20, 59.33, 70.00, 0.30
439.40, 59.17, 70.00, 0.30
439.60, 58.88, 69.88, 0.30
439.80, 58.75, 69.75, 0.30
440.00, 58.62, 69.62, 0.30
440.20, 58.33, 69.50, 0.30
440.40, 58.17, 69.50, 0.30
440.60, 58.00, 69.50, 0.30
440.80, 57.83, 69.50, 0.30
441.00, 57.67, 69.50, 0.30
441.20, 57.38, 69.38, 0.30
441.40, 57.25, 69.25, 0.30
441.60, 57.12, 69.12, 0.30
441.80, 56.83, 69.00, 0.30
442.00, 56.67, 69.00, 0.30
442.20, 56.38, 68.88, 0.30
442.40, 56.25, 68.75, 0.30
442.60, 56.12, 68.62, 0.30
442.80, 55.83, 68.50, 0.30
443.00, 55.67, 68.50, 0.30
443.20, 55.38, 68.38, 0.30
443.40, 55.25, 68.25, 0.30
443.60, 55.12, 68.12, 0.30
443.80, 54.83, 68.00, 0.30
444.00, 54.67, 68.00, 0.30
444.20, 54.38, 67.88, 0.30
444.40, 54.25, 67.75, 0.30
444.60, 54.12, 67.62, 0.30
444.80, 53.83, 67.50, 0.30
445.00, 53.67, 67.50, 0.30
445.20, 53.38, 67.38, 0.30
445.40, 53.25, 67.25, 0.30
445.60, 53.12, 67.12, 0.30
445.80, 52.83, 67.00, 0.30
446.00, 52.67, 67.00, 0.30
446.20, 52.50, 66.83, 0.30
446.40, 52.50, 66.66, 0.30
446.60, 52.50, 66.49, 0.30
446.80, 52.50, 66.32, 0.30
447.00, 52.50, 66.15, 0.30
447.20, 52.50, 65.99, 0.30
447.40, 52.50, 65.82, 0.30
447.60, 52.50, 65.65, 0.30
447.80, 52.50, 65.48, 0.30
448.00, 52.50, 65.31, 0.30
448.20, 52.50, 65.14, 0.30
448.40, 52.50, 64.97, 0.30
448.60, 52.50, 64.80, 0.30
448.80, 52.50, 64.63, 0.30
449.00, 52.50, 64.46, 0.30
449.20, 52.50, 64.30, 0.30
449.40, 52.50, 64.13, 0.30
449.60, 52.50, 63.96, 0.30
449.80, 52.50, 63.79, 0.30
450.00, 52.50, 63.62, 0.30
450.20, 52.50, 63.45, 0.30
450.40, 52.50, 63.28, 0.30
450.60, 52.50, 63.11, 0.30
450.80, 52.50, 62.94, 0.30
451.00, 52.50, 62.77, 0.30
451.20, 52.50, 62.61, 0.30
451.40, 52.50, 62.44, 0.30
451.60, 52.50, 62.27, 0.30
451.80, 52.50, 62.10, 0.30
452.00, 52.50, 61.93, 0.30
452.20, 52.50, 61.76, 0.30
452.40, 52.50, 61.59, 0.30
452.60, 52.50, 61.42, 0.30
452.80, 52.50, 61.25, 0.30
453.00, 52.50, 61.08, 0.30
453.20, 52.50, 60.92, 0.30
453.40, 52.50, 60.75, 0.30
453.60, 52.50, 60.58, 0.30
453.80, 52.50, 60.41, 0.30
454.00, 52.50, 60.24, 0.30
454.20, 52.50, 60.07, 0.30
454.40, 52.50, 59.90, 0.30
454.60, 52.50, 59.73, 0.30
454.80, 52.50, 59.56, 0.30
455.00, 52.50, 59.39, 0.30
455.20, 52.50, 59.23, 0.30
455.40, 52.50, 59.06, 0.30
455.60, 52.50, 58.89, 0.30
455.80, 52.50, 58.72, 0.30
456.00, 52.50, 58.55, 0.30
456.20, 52.50, 58.38, 0.30
456.40, 52.50, 58.21, 0.30
456.60, 52.50, 58.04, 0.30
456.80, 52.50, 57.87, 0.30
457.00, 52.50, 57.70, 0.30
457.20, 52.50, 57.54, 0.30
457.40, 52.50, 57.37, 0.30
457.60, 52.50, 57.20, 0.30
457.80, 52.50, 57.03, 0.30
458.00, 52.50, 56.86, 0.30
458.20, 52.50, 56.69, 0.30
458.40, 52.50, 56.52, 0.30
458.60, 52.50, 56.35, 0.30
458.80, 52.50, 56.18, 0.30
459.00, 52.50, 56.01, 0.30
459.20, 52.50, 55.85, 0.30
459.40, 52.50, 55.68, 0.30
459.60, 52.50, 55.51, 0.30
459.80, 52.50, 55.34, 0.30
460.00, 52.50, 55.17, 0.30
460.20, 52.33, 55.00, 0.30
460.40, 52.16, 55.00, 0.30
460.60, 51.99, 55.00, 0.30
460.80, 51.82, 55.00, 0.30
461.00, 51.65, 55.00, 0.30
461.20, 51.48, 55.00, 0.30
461.40, 51.31, 55.00, 0.30
461.60, 51.14, 55.00, 0.30
461.80, 50.97, 55.00, 0.30
462.00, 50.80, 55.00, 0.30
462.20, 50.64, 55.00, 0.30
462.40, 50.47, 55.00, 0.30
462.60, 50.30, 55.00, 0.30
462.80, 50.13, 55.00, 0.30
463.00, 49.96, 55.00, 0.30
463.20, 49.79, 55.00, 0.30
463.40, 49.62, 55.00, 0.30
463.60, 49.45, 55.00, 0.30
463.80, 49.28, 55.00, 0.30
464.00, 49.11, 55.00, 0.30
464.20, 48.94, 55.00, 0.30
464.40, 48.77, 55.00, 0.30
464.60, 48.60, 55.00, 0.30
464.80, 48.43, 55.00, 0.30
465.00, 48.26, 55.00, 0.30
465.20, 48.09, 55.00, 0.30
465.40, 47.92, 55.00, 0.30
465.60, 47.75, 55.00, 0.30
465.80, 47.58, 55.00, 0.30
466.00, 47.41, 55.00, 0.30
466.20, 47.24, 55.00, 0.30
466.40, 47.07, 55.00, 0.30
466.60, 46.91, 55.00, 0.30
466.80, 46.74, 55.00, 0.30
467.00, 46.57, 55.00, 0.30
467.20, 46.40, 55.00, 0.30
467.40, 46.23, 55.00, 0.30
467.60, 46.06, 55.00, 0.30
467.80, 45.89, 55.00, 0.30
468.00, 45.72, 55.00, 0.30
468.20, 45.55, 55.00, 0.30
468.40, 45.38, 55.00, 0.30
468.60, 45.21, 55.00, 0.30
468.80, 45.04, 55.00, 0.30
469.00, 44.87, 55.00, 0.30
469.20, 44.70, 55.00, 0.30
469.40, 44.53, 55.00, 0.30
469.60, 44.36, 55.00, 0.30
469.80, 44.19, 55.00, 0.30
470.00, 44.02, 55.00, 0.30
470.20, 43.85, 55.00, 0.30
470.40, 43.68, 55.00, 0.30
470.60, 43.51, 55.00, 0.30
470.80, 43.34, 55.00, 0.30
471.00, 43.18, 55.00, 0.30
471.20, 43.01, 55.00, 0.30
471.40, 42.84, 55.00, 0.30
471.60, 42.67, 55.00, 0.30
471.80, 42.50, 55.00, 0.30
472.00, 42.33, 55.00, 0.30
472.20, 42.16, 55.00, 0.30
472.40, 41.99, 55.00, 0.30
472.60, 41.82, 55.00, 0.30
472.80, 41.65, 55.00, 0.30
473.00, 41.48, 55.00, 0.30
473.20, 41.31, 55.00, 0.30
473.40, 41.14, 55.00, 0.30
473.60, 40.97, 55.00, 0.30
473.80, 40.80, 55.00, 0.30
474.00, 40.63, 55.00, 0.30
474.20, 40.46, 55.00, 0.30
474.40, 40.29, 55.00, 0.30
474.60, 40.12, 55.00, 0.30
474.80, 39.95, 55.00, 0.30
475.00, 39.78, 55.00, 0.30
475.20, 39.61, 55.00, 0.30
475.40, 39.45, 55.00, 0.30
475.60, 39.28, 55.00, 0.30
475.80, 39.11, 55.00, 0.30
476.00, 38.94, 55.00, 0.30
476.20, 38.77, 55.00, 0.30
476.40, 38.60, 55.00, 0.30
476.60, 38.43, 55.00, 0.30
476.80, 38.26, 55.00, 0.30
477.00, 38.09, 55.00, 0.30
477.20, 37.92, 55.00, 0.30
477.40, 37.75, 55.00, 0.30
477.60, 37.58, 55.00, 0.30
477.80, 37.41, 55.00, 0.30
478.00, 37.24, 55.00, 0.30
478.20, 37.07, 55.00, 0.30
478.40, 36.90, 55.00, 0.30
478.60, 36.73, 55.00, 0.30
478.80, 36.56, 55.00, 0.30
479.00, 36.39, 55.00, 0.30
479.20, 36.22, 55.00, 0.30
479.40, 36.05, 55.00, 0.30
479.60, 35.89, 55.00, 0.30
479.80, 35.72, 55.00, 0.30
480.00, 35.55, 55.00, 0.30
480.20, 35.38, 55.00, 0.30
480.40, 35.21, 55.00, 0.30
480.60, 35.04, 55.00, 0.30
480.80, 34.87, 55.00, 0.30
481.00, 34.70, 55.00, 0.30
481.20, 34.53, 55.00, 0.30
481.40, 34.36, 55.00, 0.30
481.60, 34.19, 55.00, 0.30
481.80, 34.02, 55.00, 0.30
482.00, 33.85, 55.00, 0.30
482.20, 33.68, 55.00, 0.30
482.40, 33.51, 55.00, 0.30
482.60, 33.34, 55.00, 0.30
482.80, 33.17, 55.00, 0.30
483.00, 33.00, 55.00, 0.30
483.20, 32.83, 55.00, 0.30
483.40, 32.66, 55.00, 0.30
483.60, 32.49, 55.00, 0.30
483.80, 32.32, 55.00, 0.30
484.00, 32.16, 55.00, 0.30
484.20, 31.99, 55.00, 0.30
484.40, 31.82, 55.00, 0.30
484.60, 31.65, 55.00, 0.30
484.80, 31.48, 55.00, 0.30
485.00, 31.31, 55.00, 0.30
485.20, 31.14, 55.00, 0.30
485.40, 30.97, 55.00, 0.30
485.60, 30.80, 55.00, 0.30
485.80, 30.63, 55.00, 0.30
486.00, 30.46, 55.00, 0.30
486.20, 30.29, 55.00, 0.30
486.40, 30.12, 55.00, 0.30
486.60, 29.95, 55.00, 0.30
486.80, 29.78, 55.00, 0.30
487.00, 29.61, 55.00, 0.30
487.20, 29.44, 55.00, 0.30
487.40, 29.27, 55.00, 0.30
487.60, 29.10, 55.00, 0.30
487.80, 28.93, 55.00, 0.30
488.00, 28.76, 55.00, 0.30
488.20, 28.59, 55.00, 0.30
488.40, 28.43, 55.00, 0.30
488.60, 28.26, 55.00, 0.30
488.80, 28.09, 55.00, 0.30
489.00, 27.92, 55.00, 0.30
489.20, 27.75, 55.00, 0.30
489.40, 27.58, 55.00, 0.30
489.60, 27.41, 55.00, 0.30
489.80, 27.24, 55.00, 0.30
490.00, 27.07, 55.00, 0.30
490.20, 26.90, 55.00, 0.30
490.40, 26.73, 55.00, 0.30
490.60, 26.56, 55.00, 0.30
490.80, 26.39, 55.00, 0.30
491.00, 26.22, 55.00, 0.30
491.20, 26.05, 55.00, 0.30
491.40, 25.88, 55.00, 0.30
491.60, 25.71, 55.00, 0.30
491.80, 25.54, 55.00, 0.30
492.00, 25.37, 55.00, 0.30
492.20, 25.20, 55.00, 0.30
492.40, 25.03, 55.00, 0.30
492.60, 24.86, 55.00, 0.30
492.80, 24.70, 55.00, 0.30
493.00, 24.53, 55.00, 0.30
493.20, 24.36, 55.00, 0.30
493.40, 24.19, 55.00, 0.30
493.60, 24.02, 55.00, 0.30
493.80, 23.85, 55.00, 0.30
494.00, 23.68, 55.00, 0.30
494.20, 23.51, 55.00, 0.30
494.40, 23.34, 55.00, 0.30
494.60, 23.17, 55.00, 0.30
494.80, 23.00, 55.17, 0.30
495.00, 23.00, 55.34, 0.30
495.20, 23.00, 55.51, 0.30
495.40, 23.00, 55.68, 0.30
495.60, 23.00, 55.85, 0.30
495.80, 23.00, 56.02, 0.30
496.00, 23.00, 56.19, 0.30
496.20, 23.00, 56.36, 0.30
496.40, 23.00, 56.53, 0.30
496.60, 23.00, 56.70, 0.30
496.80, 23.00, 56.87, 0.30
497.00, 23.00, 57.04, 0.30
497.20, 23.00, 57.21, 0.30
497.40, 23.00, 57.38, 0.30
497.60, 23.00, 57.55, 0.30
497.80, 23.00, 57.72, 0.30
498.00, 23.00, 57.89, 0.30
498.20, 23.00, 58.06, 0.30
498.40, 23.00, 58.23, 0.30
498.60, 23.00, 58.40, 0.30
498.80, 23.00, 58.57, 0.30
499.00, 23.00, 58.74, 0.30
499.20, 23.00, 58.91, 0.30
499.40, 23.00, 59.09, 0.30
499.60, 23.00, 59.26, 0.30
499.80, 23.00, 59.43, 0.30
500.00, 23.00, 59.60, 0.30
500.20, 23.00, 59.77, 0.30
500.40, 23.00, 59.94, 0.30
500.60, 23.00, 60.11, 0.30
500.80, 23.00, 60.28, 0.30
501.00, 23.00, 60.45, 0.30
501.20, 23.00, 60.62, 0.30
501.40, 23.00, 60.79, 0.30
501.60, 23.00, 60.96, 0.30
501.80, 23.00, 61.13, 0.30
502.00, 23.00, 61.30, 0.30
502.20, 23.00, 61.47, 0.30
502.40, 23.00, 61.64, 0.30
502.60, 23.00, 61.81, 0.30
502.80, 23.00, 61.98, 0.30
503.00, 23.00, 62.15, 0.30
503.20, 23.00, 62.32, 0.30
503.40, 23.00, 62.49, 0.30
503.60, 23.00, 62.66, 0.30
503.80, 23.00, 62.83, 0.30
504.00, 23.00, 63.00, 0.30
504.20, 23.00, 63.17, 0.30
504.40, 23.00, 63.34, 0.30
504.60, 23.00, 63.51, 0.30
504.80, 23.00, 63.68, 0.30
505.00, 23.00, 63.85, 0.30
505.20, 23.00, 64.02, 0.30
505.40, 23.00, 64.19, 0.30
505.60, 23.00, 64.36, 0.30
505.80, 23.00, 64.53, 0.30
506.00, 23.00, 64.70, 0.30
506.20, 23.00, 64.87, 0.30
506.40, 23.00, 65.04, 0.30
506.60, 23.00, 65.21, 0.30
506.80, 23.00, 65.38, 0.30
507.00, 23.00, 65.55, 0.30
507.20, 23.00, 65.72, 0.30
507.40, 23.00, 65.89, 0.30
507.60, 23.00, 66.06, 0.30
507.80, 23.00, 66.23, 0.30
508.00, 23.00, 66.40, 0.30
508.20, 23.00, 66.57, 0.30
508.40, 23.00, 66.74, 0.30
508.60, 23.00, 66.91, 0.30
508.80, 23.00, 67.09, 0.30
509.00, 23.00, 67.26, 0.30
509.20, 23.00, 67.43, 0.30
509.40, 23.00, 67.60, 0.30
509.60, 23.00, 67.77, 0.30
509.80, 23.00, 67.94, 0.30
510.00, 23.00, 68.11, 0.30
510.20, 23.00, 68.28, 0.30
510.40, 23.00, 68.45, 0.30
510.60, 23.00, 68.62, 0.30
510.80, 23.00, 68.79, 0.30
511.00, 23.00, 68.96, 0.30
511.20, 23.00, 69.13, 0.30
511.40, 23.00, 69.30, 0.30
511.60, 23.00, 69.47, 0.30
511.80, 23.00, 69.64, 0.30
512.00, 23.00, 69.81, 0.30
512.20, 23.00, 69.98, 0.30
512.40, 23.00, 70.15, 0.30
512.60, 23.00, 70.32, 0.30
512.80, 23.00, 70.49, 0.30
513.00, 23.00, 70.66, 0.30
513.20, 23.00, 70.83, 0.30
513.40, 22.83, 71.00, 0.30
513.60, 22.66, 71.00, 0.30
513.80, 22.48, 71.00, 0.30
514.00, 22.31, 71.00, 0.30
514.20, 22.14, 71.00, 0.30
514.40, 21.97, 71.00, 0.30
514.60, 21.79, 71.00, 0.30
514.80, 21.62, 71.00, 0.30
515.00, 21.45, 71.00, 0.30
515.20, 21.28, 71.00, 0.30
515.40, 21.10, 71.00, 0.30
515.60, 20.93, 71.00, 0.30
515.80, 20.76, 71.00, 0.30
516.00, 20.59, 71.00, 0.30
516.20, 20.41, 71.00, 0.30
516.40, 20.24, 71.00, 0.30
516.60, 20.07, 71.00, 0.30
516.80, 19.90, 71.00, 0.30
517.00, 19.72, 71.00, 0.30
517.20, 19.55, 71.00, 0.30
517.40, 19.38, 71.00, 0.30
517.60, 19.21, 71.00, 0.30
517.80, 19.03, 71.00, 0.30
518.00, 18.86, 71.00, 0.30
518.20, 18.69, 71.00, 0.30
518.40, 18.52, 71.00, 0.30
518.60, 18.34, 71.00, 0.30
518.80, 18.17, 71.00, 0.30
519.00, 17.88, 71.12, 0.30
519.20, 17.75, 71.25, 0.30
519.40, 17.62, 71.38, 0.30
519.60, 17.33, 71.50, 0.30
519.80, 17.17, 71.50, 0.30
520.00, 17.00, 71.50, 0.30
520.20, 16.83, 71.50, 0.30
520.40, 16.67, 71.50, 0.30
520.60, 16.38, 71.62, 0.30
520.80, 16.26, 71.74, 0.30
521.00, 16.14, 71.86, 0.30
521.20, 16.02, 71.98, 0.30
521.40, 15.90, 72.10, 0.30
521.60, 15.78, 72.22, 0.30
521.80, 15.66, 72.34, 0.30
522.00, 15.54, 72.46, 0.30
522.20, 15.42, 72.58, 0.30
522.40, 15.30, 72.70, 0.30
522.60, 15.18, 72.82, 0.30
522.80, 15.07, 72.93, 0.30
523.00, 14.95, 73.05, 0.30
523.20, 14.83, 73.17, 0.30
523.40, 14.71, 73.29, 0.30
523.60, 14.59, 73.41, 0.30
523.80, 14.47, 73.53, 0.30
524.00, 14.35, 73.65, 0.30
524.20, 14.23, 73.77, 0.30
524.40, 14.11, 73.89, 0.30
524.60, 13.99, 74.01, 0.30
524.80, 13.87, 74.13, 0.30
525.00, 13.75, 74.25, 0.30
525.20, 13.63, 74.37, 0.30
525.40, 13.51, 74.49, 0.30
525.60, 13.39, 74.61, 0.30
525.80, 13.27, 74.73, 0.30
526.00, 13.15, 74.85, 0.30
526.20, 13.03, 74.97, 0.30
526.40, 12.91, 75.09, 0.30
526.60, 12.79, 75.21, 0.30
526.80, 12.67, 75.33, 0.30
527.00, 12.55, 75.45, 0.30
527.20, 12.43, 75.57, 0.30
527.40, 12.32, 75.68, 0.30
527.60, 12.20, 75.80, 0.30
527.80, 12.08, 75.92, 0.30
528.00, 11.96, 76.04, 0.30
528.20, 11.84, 76.16, 0.30
528.40, 11.72, 76.28, 0.30
528.60, 11.60, 76.40, 0.30
528.80, 11.48, 76.52, 0.30
529.00, 11.36, 76.64, 0.30
529.20, 11.24, 76.76, 0.30
529.40, 11.12, 76.88, 0.30
529.60, 10.83, 77.00, 0.30
529.80, 10.67, 77.00, 0.30
530.00, 10.50, 77.00, 0.30
530.20, 10.33, 77.00, 0.30
530.40, 10.17, 77.00, 0.30
530.60, 10.00, 77.00, 0.30
530.80, 9.83, 77.00, 0.30
531.00, 9.67, 77.00, 0.30
531.20, 9.50, 77.00, 0.30
531.40, 9.33, 77.00, 0.30
531.60, 9.17, 77.00, 0.30
531.80, 9.00, 77.00, 0.30
532.00, 8.83, 77.00, 0.30
532.20, 8.67, 77.00, 0.30
532.40, 8.50, 77.00, 0.30
532.60, 8.33, 77.00, 0.30
532.80, 8.17, 77.00, 0.30
533.00, 8.00, 77.00, 0.30
533.20, 7.83, 77.00, 0.30
533.40, 7.67, 77.00, 0.30
533.60, 7.50, 77.00, 0.30
533.80, 7.33, 77.00, 0.30
534.00, 7.17, 77.00, 0.30
534.20, 7.00, 77.17, 0.30
534.40, 7.00, 77.34, 0.30
534.60, 7.00, 77.51, 0.30
534.80, 7.00, 77.68, 0.30
535.00, 7.00, 77.85, 0.30
535.20, 7.00, 78.02, 0.30
535.40, 7.00, 78.20, 0.30
535.60, 7.00, 78.37, 0.30
535.80, 7.00, 78.54, 0.30
536.00, 7.00, 78.71, 0.30
536.20, 7.00, 78.88, 0.30
536.40, 7.00, 79.05, 0.30
536.60, 7.00, 79.22, 0.30
536.80, 7.00, 79.39, 0.30
537.00, 7.00, 79.56, 0.30
537.20, 7.00, 79.73, 0.30
537.40, 7.00, 79.90, 0.30
537.60, 7.00, 80.07, 0.30
537.80, 7.00, 80.24, 0.30
538.00, 7.00, 80.41, 0.30
538.20, 7.00, 80.59, 0.30
538.40, 7.00, 80.76, 0.30
538.60, 7.00, 80.93, 0.30
538.80, 7.00, 81.10, 0.30
539.00, 7.00, 81.27, 0.30
539.20, 7.00, 81.44, 0.30
539.40, 7.00, 81.61, 0.30
539.60, 7.00, 81.78, 0.30
539.80, 7.00, 81.95, 0.30
540.00, 7.00, 82.12, 0.30
540.20, 7.00, 82.29, 0.30
540.40, 7.00, 82.46, 0.30
540.60, 7.00, 82.63, 0.30
540.80, 7.00, 82.80, 0.30
541.00, 7.00, 82.98, 0.30
541.20, 7.00, 83.15, 0.30
541.40, 7.00, 83.32, 0.30
541.60, 7.00, 83.49, 0.30
541.80, 7.00, 83.66, 0.30
542.00, 7.00, 83.83, 0.30
542.20, 7.00, 84.00, 0.30
542.40, 7.00, 84.17, 0.30
542.60, 7.00, 84.34, 0.30
542.80, 7.00, 84.51, 0.30
543.00, 7.00, 84.68, 0.30
543.20, 7.00, 84.85, 0.30
543.40, 7.00, 85.02, 0.30
543.60, 7.00, 85.20, 0.30
543.80, 7.00, 85.37, 0.30
544.00, 7.00, 85.54, 0.30
544.20, 7.00, 85.71, 0.30
544.40, 7.00, 85.88, 0.30
544.60, 7.00, 86.05, 0.30
544.80, 7.00, 86.22, 0.30
545.00, 7.00, 86.39, 0.30
545.20, 7.00, 86.56, 0.30
545.40, 7.00, 86.73, 0.30
545.60, 7.00, 86.90, 0.30
545.80, 7.00, 87.07, 0.30
546.00, 7.00, 87.24, 0.30
546.20, 7.00, 87.41, 0.30
546.40, 7.00, 87.59, 0.30
546.60, 7.00, 87.76, 0.30
546.80, 7.00, 87.93, 0.30
547.00, 7.00, 88.10, 0.30
547.20, 7.00, 88.27, 0.30
547.40, 7.00, 88.44, 0.30
547.60, 7.00, 88.61, 0.30
547.80, 7.00, 88.78, 0.30
548.00, 7.00, 88.95, 0.30
548.20, 7.00, 89.12, 0.30
548.40, 7.00, 89.29, 0.30
548.60, 7.00, 89.46, 0.30
548.80, 7.00, 89.63, 0.30
549.00, 7.00, 89.80, 0.30
549.20, 7.00, 89.98, 0.30
549.40, 7.00, 90.15, 0.30
549.60, 7.00, 90.32, 0.30
549.80, 7.00, 90.49, 0.30
550.00, 7.00, 90.66, 0.30
550.20, 7.00, 90.83, 0.30
550.40, 6.88, 91.12, 0.30
550.60, 6.75, 91.25, 0.30
550.80, 6.62, 91.38, 0.30
551.00, 6.50, 91.67, 0.30
551.20, 6.50, 91.83, 0.30
551.40, 6.38, 92.12, 0.30
551.60, 6.25, 92.25, 0.30
551.80, 6.12, 92.38, 0.30
552.00, 6.00, 92.67, 0.30
552.20, 6.00, 92.83, 0.30
552.40, 5.88, 93.12, 0.30
552.60, 5.75, 93.25, 0.30
552.80, 5.62, 93.38, 0.30
553.00, 5.50, 93.67, 0.30
553.20, 5.50, 93.83, 0.30
553.40, 5.38, 94.12, 0.30
553.60, 5.25, 94.25, 0.30
553.80, 5.12, 94.38, 0.30
