Time_s,Src_MAC,Seq_Num,RSSI_dBm
0.00762198,00:02,0,-38
0.0551642,00:03,0,-104
0.105699,00:04,0,-92
0.507497,00:02,1,-38
0.553119,00:03,1,-103
0.606163,00:04,1,-92
1.00746,00:02,2,-38
1.05426,00:03,2,-103
1.10577,00:04,2,-92
1.50733,00:02,3,-39
1.55437,00:03,3,-103
1.60462,00:04,3,-92
2.00731,00:02,4,-40
2.05588,00:03,4,-103
2.10735,00:04,4,-92
2.50692,00:02,5,-41
2.55365,00:03,5,-103
2.60743,00:04,5,-92
3.00734,00:02,6,-42
3.05617,00:03,6,-103
3.10566,00:04,6,-92
3.50895,00:02,7,-43
3.55475,00:03,7,-103
3.60452,00:04,7,-92
4.00885,00:02,8,-44
4.05415,00:03,8,-103
4.10641,00:04,8,-92
4.5057,00:02,9,-44
4.5542,00:03,9,-103
4.60474,00:04,9,-92
5.00764,00:02,10,-45
5.05451,00:03,10,-103
5.10487,00:04,10,-92
5.50822,00:02,11,-46
5.55578,00:03,11,-103
5.60756,00:04,11,-91
6.00665,00:02,12,-47
6.05338,00:03,12,-103
6.10537,00:04,12,-91
6.50669,00:02,13,-47
6.55536,00:03,13,-102
6.60711,00:04,13,-91
7.00763,00:02,14,-48
7.05358,00:03,14,-102
7.10741,00:04,14,-91
7.50718,00:02,15,-48
7.55378,00:03,15,-102
7.60569,00:04,15,-91
8.00706,00:02,16,-49
8.05571,00:03,16,-102
8.10777,00:04,16,-91
8.5069,00:02,17,-50
8.55492,00:03,17,-102
8.60449,00:04,17,-91
9.00751,00:02,18,-50
9.05493,00:03,18,-102
9.10705,00:04,18,-91
9.50793,00:02,19,-51
9.55367,00:03,19,-102
9.60533,00:04,19,-91
10.0082,00:02,20,-52
10.0539,00:03,20,-102
10.1068,00:04,20,-91
10.5083,00:02,21,-52
10.5531,00:03,21,-102
10.6046,00:04,21,-91
11.0078,00:02,22,-53
11.0558,00:03,22,-102
11.1051,00:04,22,-91
11.5062,00:02,23,-53
11.5532,00:03,23,-101
11.6065,00:04,23,-91
12.0064,00:02,24,-53
12.0548,00:03,24,-101
12.1059,00:04,24,-91
12.5078,00:02,25,-54
12.554,00:03,25,-101
12.6061,00:04,25,-91
13.0073,00:02,26,-54
13.0532,00:03,26,-101
13.107,00:04,26,-91
13.506,00:02,27,-55
13.5543,00:03,27,-101
13.6061,00:04,27,-91
14.0072,00:02,28,-55
14.0534,00:03,28,-101
14.1049,00:04,28,-91
14.5073,00:02,29,-55
14.5538,00:03,29,-101
14.6064,00:04,29,-91
15.0067,00:02,30,-55
15.0559,00:03,30,-101
15.1052,00:04,30,-91
15.5077,00:02,31,-56
15.5551,00:03,31,-101
15.607,00:04,31,-91
16.0072,00:02,32,-56
16.056,00:03,32,-101
16.1072,00:04,32,-90
16.508,00:02,33,-56
16.5538,00:03,33,-101
16.606,00:04,33,-90
17.0066,00:02,34,-57
17.0559,00:03,34,-100
17.1081,00:04,34,-90
17.5075,00:02,35,-57
17.5561,00:03,35,-100
17.6061,00:04,35,-90
18.0071,00:02,36,-57
18.054,00:03,36,-100
18.1053,00:04,36,-90
18.507,00:02,37,-57
18.5537,00:03,37,-100
18.6058,00:04,37,-90
19.0075,00:02,38,-58
19.056,00:03,38,-100
19.1063,00:04,38,-90
19.5069,00:02,39,-58
19.556,00:03,39,-100
19.6062,00:04,39,-90
20.0068,00:02,40,-58
20.055,00:03,40,-100
20.1056,00:04,40,-90
20.5071,00:02,41,-58
20.5543,00:03,41,-100
20.6066,00:04,41,-90
21.0088,00:02,42,-58
21.0559,00:03,42,-100
21.1065,00:04,42,-90
21.5066,00:02,43,-59
21.5547,00:03,43,-100
21.6061,00:04,43,-90
22.0082,00:02,44,-59
22.0552,00:03,44,-99
22.1069,00:04,44,-90
22.5061,00:02,45,-59
22.5539,00:03,45,-99
22.6068,00:04,45,-90
23.0066,00:02,46,-59
23.055,00:03,46,-99
23.1053,00:04,46,-90
23.5073,00:02,47,-60
23.5551,00:03,47,-99
23.6059,00:04,47,-90
24.0083,00:02,48,-60
24.0527,00:03,48,-99
24.1074,00:04,48,-90
24.5069,00:02,49,-60
24.5534,00:03,49,-99
24.6071,00:04,49,-90
25.0079,00:02,50,-60
25.0545,00:03,50,-99
25.1047,00:04,50,-90
25.5063,00:02,51,-61
25.5529,00:03,51,-99
25.6044,00:04,51,-90
26.0067,00:02,52,-61
26.0537,00:03,52,-99
26.1063,00:04,52,-90
26.5067,00:02,53,-61
26.5546,00:03,53,-98
26.6066,00:04,53,-90
27.0064,00:02,54,-62
27.0541,00:03,54,-98
27.1072,00:04,54,-90
27.5076,00:02,55,-62
27.5539,00:03,55,-98
27.6064,00:04,55,-90
28.006,00:02,56,-62
28.0539,00:03,56,-98
28.1063,00:04,56,-90
28.5088,00:02,57,-62
28.5538,00:03,57,-98
28.6051,00:04,57,-90
29.0062,00:02,58,-63
29.0533,00:03,58,-98
29.1053,00:04,58,-90
29.508,00:02,59,-63
29.5544,00:03,59,-98
29.6069,00:04,59,-90
30.0071,00:02,60,-63
30.0549,00:03,60,-98
30.1073,00:04,60,-90
30.5064,00:02,61,-64
30.5541,00:03,61,-98
30.6067,00:04,61,-90
31.0066,00:02,62,-64
31.0546,00:03,62,-97
31.1066,00:04,62,-90
31.5056,00:02,63,-64
31.5563,00:03,63,-97
31.6058,00:04,63,-90
32.0074,00:02,64,-64
32.0556,00:03,64,-97
32.1052,00:04,64,-90
32.5061,00:02,65,-65
32.5549,00:03,65,-97
32.6065,00:04,65,-90
33.008,00:02,66,-65
33.0555,00:03,66,-97
33.1057,00:04,66,-90
33.5052,00:02,67,-65
33.5558,00:03,67,-97
33.6056,00:04,67,-90
34.0087,00:02,68,-65
34.0559,00:03,68,-97
34.1065,00:04,68,-90
34.5066,00:02,69,-66
34.5558,00:03,69,-97
34.6059,00:04,69,-90
35.0083,00:02,70,-66
35.0542,00:03,70,-96
35.1079,00:04,70,-90
35.5058,00:02,71,-66
35.5527,00:03,71,-96
35.6047,00:04,71,-90
36.0082,00:02,72,-66
36.0534,00:03,72,-96
36.1055,00:04,72,-90
36.5086,00:02,73,-67
36.556,00:03,73,-96
36.6049,00:04,73,-90
37.0071,00:02,74,-67
37.0532,00:03,74,-96
37.1041,00:04,74,-90
37.5067,00:02,75,-67
37.5551,00:03,75,-96
37.6051,00:04,75,-90
38.0066,00:02,76,-67
38.0552,00:03,76,-96
38.1081,00:04,76,-90
38.5066,00:02,77,-67
38.5568,00:03,77,-96
38.6061,00:04,77,-90
39.0082,00:02,78,-68
39.0527,00:03,78,-95
39.1046,00:04,78,-90
39.5071,00:02,79,-68
39.5544,00:03,79,-95
39.6058,00:04,79,-90
40.0077,00:02,80,-68
40.056,00:03,80,-95
40.1065,00:04,80,-90
40.5079,00:02,81,-68
40.5547,00:03,81,-95
40.6056,00:04,81,-90
41.0087,00:02,82,-69
41.0543,00:03,82,-95
41.1069,00:04,82,-90
41.5064,00:02,83,-69
41.5538,00:03,83,-95
41.6061,00:04,83,-90
42.0052,00:02,84,-69
42.0535,00:03,84,-95
42.1063,00:04,84,-90
42.506,00:02,85,-69
42.5536,00:03,85,-95
42.6073,00:04,85,-90
43.0085,00:02,86,-69
43.0565,00:03,86,-94
43.1075,00:04,86,-90
43.505,00:02,87,-69
43.5548,00:03,87,-94
43.6043,00:04,87,-90
44.0062,00:02,88,-69
44.0551,00:03,88,-94
44.1064,00:04,88,-90
44.5077,00:02,89,-70
44.5546,00:03,89,-94
44.6064,00:04,89,-90
45.0071,00:02,90,-70
45.0547,00:03,90,-94
45.1077,00:04,90,-90
45.5053,00:02,91,-70
45.5529,00:03,91,-94
45.6052,00:04,91,-90
46.0075,00:02,92,-70
46.0542,00:03,92,-94
46.1076,00:04,92,-90
46.5077,00:02,93,-70
46.5535,00:03,93,-94
46.6069,00:04,93,-90
47.009,00:02,94,-70
47.0548,00:03,94,-94
47.106,00:04,94,-90
47.5068,00:02,95,-70
47.5546,00:03,95,-94
47.6047,00:04,95,-90
48.0076,00:02,96,-70
48.0558,00:03,96,-94
48.1043,00:04,96,-91
48.5057,00:02,97,-70
48.5532,00:03,97,-94
