Time_s,Src_MAC,Seq_Num,RSSI_dBm
0.00875852,00:02,0,-41
0.0563815,00:03,0,-78
0.109141,00:04,0,-93
0.507403,00:02,1,-42
0.555256,00:03,1,-78
0.608561,00:04,1,-93
1.00637,00:02,2,-42
1.05735,00:03,2,-78
1.1076,00:04,2,-93
1.5067,00:02,3,-43
1.55533,00:03,3,-78
1.6085,00:04,3,-93
2.00589,00:02,4,-44
2.05636,00:03,4,-78
2.1081,00:04,4,-93
2.50741,00:02,5,-45
2.55774,00:03,5,-78
2.60899,00:04,5,-93
3.0069,00:02,6,-45
3.05713,00:03,6,-77
3.10933,00:04,6,-93
3.50802,00:02,7,-47
3.55593,00:03,7,-77
3.60732,00:04,7,-93
4.008,00:02,8,-47
4.05667,00:03,8,-77
4.11011,00:04,8,-93
4.5072,00:02,9,-48
4.55455,00:03,9,-77
4.60811,00:04,9,-93
5.00742,00:02,10,-49
5.05667,00:03,10,-77
5.10808,00:04,10,-93
5.50555,00:02,11,-50
5.55632,00:03,11,-77
5.60809,00:04,11,-93
6.00867,00:02,12,-50
6.05596,00:03,12,-77
6.10887,00:04,12,-93
6.50797,00:02,13,-51
6.5564,00:03,13,-77
6.60887,00:04,13,-93
7.00861,00:02,14,-52
7.05471,00:03,14,-77
7.10816,00:04,14,-93
7.50604,00:02,15,-52
7.55705,00:03,15,-77
7.60806,00:04,15,-93
8.00694,00:02,16,-53
8.05668,00:03,16,-77
8.1066,00:04,16,-93
8.50839,00:02,17,-54
8.55547,00:03,17,-77
8.60817,00:04,17,-93
9.0078,00:02,18,-54
9.05585,00:03,18,-76
9.10628,00:04,18,-93
9.50675,00:02,19,-55
9.5552,00:03,19,-76
9.6085,00:04,19,-93
10.0074,00:02,20,-55
10.0566,00:03,20,-76
10.1079,00:04,20,-92
10.5071,00:02,21,-56
10.5551,00:03,21,-76
10.6081,00:04,21,-92
11.0056,00:02,22,-56
11.0573,00:03,22,-76
11.1079,00:04,22,-92
11.5059,00:02,23,-57
11.5574,00:03,23,-76
11.6067,00:04,23,-92
12.0081,00:02,24,-57
12.0576,00:03,24,-76
12.108,00:04,24,-92
12.5073,00:02,25,-58
12.5554,00:03,25,-76
12.6068,00:04,25,-92
13.0064,00:02,26,-58
13.0564,00:03,26,-76
13.1078,00:04,26,-92
13.507,00:02,27,-58
13.5559,00:03,27,-76
13.609,00:04,27,-92
14.0058,00:02,28,-59
14.057,00:03,28,-75
14.1076,00:04,28,-92
14.5073,00:02,29,-59
14.5578,00:03,29,-75
14.6083,00:04,29,-92
15.0082,00:02,30,-59
15.056,00:03,30,-75
15.1087,00:04,30,-92
15.5079,00:02,31,-60
15.5561,00:03,31,-75
15.607,00:04,31,-92
16.0053,00:02,32,-60
16.0567,00:03,32,-75
16.1067,00:04,32,-92
16.5059,00:02,33,-60
16.5553,00:03,33,-75
16.6072,00:04,33,-92
17.0057,00:02,34,-60
17.0562,00:03,34,-75
17.1077,00:04,34,-92
17.5075,00:02,35,-61
17.5553,00:03,35,-75
17.6078,00:04,35,-92
18.0084,00:02,36,-61
18.0563,00:03,36,-75
18.1087,00:04,36,-92
18.5067,00:02,37,-61
18.5546,00:03,37,-75
18.6077,00:04,37,-92
19.0072,00:02,38,-61
19.0569,00:03,38,-74
19.1063,00:04,38,-92
19.5064,00:02,39,-62
19.557,00:03,39,-74
19.6093,00:04,39,-92
20.0071,00:02,40,-62
20.056,00:03,40,-74
20.108,00:04,40,-92
20.5056,00:02,41,-62
20.558,00:03,41,-74
20.6069,00:04,41,-92
21.0071,00:02,42,-62
21.0575,00:03,42,-74
21.1074,00:04,42,-92
21.5066,00:02,43,-63
21.5555,00:03,43,-74
21.6087,00:04,43,-92
22.0068,00:02,44,-63
22.0559,00:03,44,-74
22.1076,00:04,44,-92
22.5065,00:02,45,-63
22.5558,00:03,45,-74
22.61,00:04,45,-92
23.0075,00:02,46,-63
23.056,00:03,46,-74
23.1093,00:04,46,-92
23.5077,00:02,47,-63
23.556,00:03,47,-74
23.609,00:04,47,-92
24.0063,00:02,48,-64
24.0551,00:03,48,-73
24.109,00:04,48,-92
24.5079,00:02,49,-64
24.5551,00:03,49,-73
24.6067,00:04,49,-91
25.0062,00:02,50,-64
25.0564,00:03,50,-73
25.1084,00:04,50,-91
25.5085,00:02,51,-64
25.5539,00:03,51,-73
25.6091,00:04,51,-91
26.0058,00:02,52,-65
26.0546,00:03,52,-73
26.1075,00:04,52,-91
26.5083,00:02,53,-65
26.5552,00:03,53,-73
26.6072,00:04,53,-91
27.0078,00:02,54,-65
27.0557,00:03,54,-73
27.1063,00:04,54,-91
27.5084,00:02,55,-66
27.5555,00:03,55,-73
27.6094,00:04,55,-91
28.0086,00:02,56,-66
28.0558,00:03,56,-73
28.109,00:04,56,-91
28.5085,00:02,57,-66
28.5558,00:03,57,-72
28.6072,00:04,57,-91
29.0075,00:02,58,-67
29.0541,00:03,58,-72
29.1063,00:04,58,-91
29.5081,00:02,59,-67
29.5566,00:03,59,-72
29.6089,00:04,59,-91
30.0073,00:02,60,-67
30.0568,00:03,60,-72
30.1084,00:04,60,-91
30.509,00:02,61,-67
30.5553,00:03,61,-72
30.6085,00:04,61,-91
31.0069,00:02,62,-68
31.0543,00:03,62,-72
31.107,00:04,62,-91
31.508,00:02,63,-68
31.5569,00:03,63,-72
31.6089,00:04,63,-91
32.0082,00:02,64,-68
32.056,00:03,64,-72
32.1066,00:04,64,-91
32.5083,00:02,65,-68
32.5559,00:03,65,-71
32.6086,00:04,65,-91
33.0092,00:02,66,-69
33.0567,00:03,66,-71
33.1066,00:04,66,-91
33.507,00:02,67,-69
33.5568,00:03,67,-71
33.607,00:04,67,-91
34.0061,00:02,68,-69
34.0561,00:03,68,-71
34.1087,00:04,68,-91
34.5092,00:02,69,-69
34.5564,00:03,69,-71
34.6086,00:04,69,-91
35.0074,00:02,70,-70
35.0561,00:03,70,-71
35.1069,00:04,70,-91
35.5075,00:02,71,-70
35.5573,00:03,71,-71
35.6087,00:04,71,-91
36.0073,00:02,72,-70
36.0562,00:03,72,-71
36.1078,00:04,72,-91
36.509,00:02,73,-70
36.5555,00:03,73,-71
36.608,00:04,73,-91
37.0074,00:02,74,-71
37.0564,00:03,74,-70
37.1073,00:04,74,-91
37.5077,00:02,75,-71
37.5567,00:03,75,-70
37.6062,00:04,75,-91
38.0087,00:02,76,-71
38.057,00:03,76,-70
38.1088,00:04,76,-91
38.507,00:02,77,-71
38.5544,00:03,77,-70
38.6065,00:04,77,-91
39.0071,00:02,78,-72
39.0567,00:03,78,-70
39.1081,00:04,78,-91
39.5056,00:02,79,-72
39.5564,00:03,79,-70
39.6088,00:04,79,-91
40.008,00:02,80,-72
40.0558,00:03,80,-70
40.1091,00:04,80,-91
40.509,00:02,81,-72
40.557,00:03,81,-69
40.6082,00:04,81,-91
41.0072,00:02,82,-72
41.0555,00:03,82,-69
41.1086,00:04,82,-91
41.5084,00:02,83,-73
41.5554,00:03,83,-69
41.6075,00:04,83,-91
42.0081,00:02,84,-73
42.0571,00:03,84,-69
42.1086,00:04,84,-91
42.5076,00:02,85,-73
42.5579,00:03,85,-69
42.608,00:04,85,-91
43.0058,00:02,86,-73
43.0566,00:03,86,-69
43.1076,00:04,86,-91
43.5072,00:02,87,-73
43.5551,00:03,87,-69
43.6077,00:04,87,-91
44.0063,00:02,88,-73
44.0544,00:03,88,-69
44.1074,00:04,88,-91
44.5059,00:02,89,-73
44.5574,00:03,89,-69
44.6074,00:04,89,-91
45.0058,00:02,90,-74
45.0559,00:03,90,-68
45.1089,00:04,90,-91
45.506,00:02,91,-74
45.5556,00:03,91,-68
45.6072,00:04,91,-92
46.0066,00:02,92,-74
46.0552,00:03,92,-68
46.1084,00:04,92,-92
46.5067,00:02,93,-74
46.5542,00:03,93,-68
46.609,00:04,93,-92
47.0056,00:02,94,-74
47.0571,00:03,94,-68
47.1082,00:04,94,-92
47.5071,00:02,95,-74
47.5555,00:03,95,-68
47.608,00:04,95,-92
48.0069,00:02,96,-74
48.0561,00:03,96,-68
48.1093,00:04,96,-92
48.5071,00:02,97,-74
48.5557,00:03,97,-68
48.6091,00:04,97,-92
49.0095,00:02,98,-74
49.0566,00:03,98,-68
49.1078,00:04,98,-92
49.5066,00:02,99,-74
49.5556,00:03,99,-68
