Time_s,Src_MAC,Seq_Num,RSSI_dBm
0.00648413,00:02,0,-45
0.0547398,00:03,0,-84
0.102933,00:04,0,-84
0.505571,00:02,1,-45
0.554598,00:03,1,-84
0.606444,00:04,1,-84
1.00578,00:02,2,-46
1.05373,00:03,2,-84
1.10526,00:04,2,-84
1.50737,00:02,3,-47
1.55484,00:03,3,-84
1.60492,00:04,3,-84
2.00469,00:02,4,-47
2.05505,00:03,4,-84
2.10611,00:04,4,-84
2.50752,00:02,5,-48
2.55291,00:03,5,-83
2.6041,00:04,5,-84
3.00482,00:02,6,-49
3.055,00:03,6,-83
3.10473,00:04,6,-84
3.50806,00:02,7,-50
3.554,00:03,7,-83
3.60443,00:04,7,-84
4.007,00:02,8,-51
4.05458,00:03,8,-83
4.1041,00:04,8,-84
4.50635,00:02,9,-52
4.55454,00:03,9,-83
4.60337,00:04,9,-84
5.00727,00:02,10,-53
5.05448,00:03,10,-83
5.10383,00:04,10,-84
5.50495,00:02,11,-54
5.55607,00:03,11,-83
5.60362,00:04,11,-83
6.00614,00:02,12,-54
6.0539,00:03,12,-83
6.10409,00:04,12,-83
6.50473,00:02,13,-55
6.55344,00:03,13,-83
6.60269,00:04,13,-83
7.00765,00:02,14,-55
7.05555,00:03,14,-83
7.10435,00:04,14,-83
7.50627,00:02,15,-56
7.55581,00:03,15,-83
7.60542,00:04,15,-83
8.00633,00:02,16,-57
8.05627,00:03,16,-82
8.10444,00:04,16,-83
8.50601,00:02,17,-57
8.55506,00:03,17,-82
8.60363,00:04,17,-83
9.0052,00:02,18,-58
9.05486,00:03,18,-82
9.10383,00:04,18,-83
9.50673,00:02,19,-59
9.55369,00:03,19,-82
9.60356,00:04,19,-83
10.0058,00:02,20,-59
10.0562,00:03,20,-82
10.104,00:04,20,-83
10.5066,00:02,21,-60
10.5524,00:03,21,-82
10.603,00:04,21,-83
11.006,00:02,22,-60
11.0539,00:03,22,-82
11.1033,00:04,22,-83
11.507,00:02,23,-61
11.5542,00:03,23,-82
11.604,00:04,23,-83
12.0054,00:02,24,-61
12.0546,00:03,24,-82
12.105,00:04,24,-83
12.5063,00:02,25,-61
12.5551,00:03,25,-82
12.6029,00:04,25,-83
13.0063,00:02,26,-62
13.0541,00:03,26,-81
13.1056,00:04,26,-83
13.5058,00:02,27,-62
13.5544,00:03,27,-81
13.6037,00:04,27,-83
14.0079,00:02,28,-62
14.0554,00:03,28,-81
14.1025,00:04,28,-83
14.5051,00:02,29,-63
14.554,00:03,29,-81
14.6035,00:04,29,-83
15.0072,00:02,30,-63
15.0541,00:03,30,-81
15.103,00:04,30,-83
15.5053,00:02,31,-63
15.5549,00:03,31,-81
15.6034,00:04,31,-83
16.0045,00:02,32,-64
16.0537,00:03,32,-81
16.104,00:04,32,-83
16.5045,00:02,33,-64
16.5548,00:03,33,-81
16.6044,00:04,33,-82
17.0057,00:02,34,-64
17.0525,00:03,34,-81
17.1031,00:04,34,-82
17.5065,00:02,35,-64
17.5542,00:03,35,-81
17.6035,00:04,35,-82
18.0059,00:02,36,-65
18.0548,00:03,36,-81
18.1038,00:04,36,-82
18.5061,00:02,37,-65
18.5557,00:03,37,-80
18.6036,00:04,37,-82
19.005,00:02,38,-65
19.054,00:03,38,-80
19.1023,00:04,38,-82
19.5078,00:02,39,-65
19.5548,00:03,39,-80
19.6053,00:04,39,-82
20.0043,00:02,40,-66
