Time_s,Src_MAC,Seq_Num,RSSI_dBm
0.00661148,00:02,0,-53
0.0573961,00:03,0,-93
0.107281,00:04,0,-92
0.505848,00:02,1,-53
0.557215,00:03,1,-92
0.606875,00:04,1,-92
1.00567,00:02,2,-54
1.05466,00:03,2,-92
1.10698,00:04,2,-92
1.50471,00:02,3,-55
1.55601,00:03,3,-92
1.60608,00:04,3,-92
2.00573,00:02,4,-56
2.05587,00:03,4,-92
2.10393,00:04,4,-92
2.50627,00:02,5,-56
2.55529,00:03,5,-92
2.60646,00:04,5,-92
3.00585,00:02,6,-57
3.05515,00:03,6,-92
3.10596,00:04,6,-92
3.50437,00:02,7,-58
3.55476,00:03,7,-92
3.60482,00:04,7,-92
4.00316,00:02,8,-59
4.05461,00:03,8,-92
4.10524,00:04,8,-92
4.50527,00:02,9,-60
4.55593,00:03,9,-92
4.60623,00:04,9,-92
5.00525,00:02,10,-61
5.0557,00:03,10,-92
5.1043,00:04,10,-92
5.50581,00:02,11,-62
5.55432,00:03,11,-92
5.60609,00:04,11,-92
6.0038,00:02,12,-62
6.05489,00:03,12,-92
6.10593,00:04,12,-92
6.50421,00:02,13,-63
6.5569,00:03,13,-92
6.60581,00:04,13,-92
7.00343,00:02,14,-64
7.0546,00:03,14,-91
7.10535,00:04,14,-92
7.50579,00:02,15,-64
7.55433,00:03,15,-91
7.6053,00:04,15,-92
8.00612,00:02,16,-65
8.05558,00:03,16,-91
8.10756,00:04,16,-92
8.50439,00:02,17,-65
8.55452,00:03,17,-91
8.60476,00:04,17,-92
9.00492,00:02,18,-66
9.05535,00:03,18,-91
9.10662,00:04,18,-92
9.50493,00:02,19,-67
9.55408,00:03,19,-91
9.60426,00:04,19,-92
10.0047,00:02,20,-67
10.0543,00:03,20,-91
10.1064,00:04,20,-91
10.5045,00:02,21,-68
10.555,00:03,21,-91
10.6046,00:04,21,-91
11.007,00:02,22,-68
11.0534,00:03,22,-91
11.1044,00:04,22,-91
11.5047,00:02,23,-69
11.5548,00:03,23,-91
11.6044,00:04,23,-91
12.0062,00:02,24,-69
12.055,00:03,24,-90
12.1056,00:04,24,-91
12.5043,00:02,25,-70
12.5564,00:03,25,-90
12.6049,00:04,25,-91
13.0049,00:02,26,-70
13.0553,00:03,26,-90
13.1062,00:04,26,-91
13.5058,00:02,27,-70
13.5552,00:03,27,-90
13.605,00:04,27,-91
14.0042,00:02,28,-71
14.0554,00:03,28,-90
14.1067,00:04,28,-91
14.5047,00:02,29,-71
14.555,00:03,29,-90
14.6076,00:04,29,-91
15.0065,00:02,30,-71
15.0552,00:03,30,-90
15.1062,00:04,30,-91
15.5039,00:02,31,-71
15.5557,00:03,31,-90
15.6048,00:04,31,-91
16.0045,00:02,32,-72
16.0564,00:03,32,-90
