Time_s,Src_MAC,Seq_Num,RSSI_dBm
0.00607175,00:02,0,-55
0.0575097,00:03,0,-88
0.105988,00:04,0,-106
0.504467,00:02,1,-55
0.553879,00:03,1,-88
0.606376,00:04,1,-106
1.00436,00:02,2,-55
1.05603,00:03,2,-88
1.50305,00:02,3,-56
1.55478,00:03,3,-88
1.60498,00:04,3,-106
2.0046,00:02,4,-57
2.05574,00:03,4,-88
2.10696,00:04,4,-106
2.50269,00:02,5,-58
2.55401,00:03,5,-88
2.6054,00:04,5,-106
3.0039,00:02,6,-59
3.0564,00:03,6,-88
3.10434,00:04,6,-106
3.50466,00:02,7,-60
3.55617,00:03,7,-88
3.60601,00:04,7,-106
4.00348,00:02,8,-61
4.05574,00:03,8,-88
4.10507,00:04,8,-106
4.50614,00:02,9,-61
4.55568,00:03,9,-87
4.6063,00:04,9,-106
5.00348,00:02,10,-62
5.05582,00:03,10,-87
5.1065,00:04,10,-106
5.50403,00:02,11,-63
5.55517,00:03,11,-87
5.60544,00:04,11,-106
6.00338,00:02,12,-64
6.05624,00:03,12,-87
6.10541,00:04,12,-105
6.50431,00:02,13,-64
6.55675,00:03,13,-87
6.60623,00:04,13,-105
7.00303,00:02,14,-65
7.05621,00:03,14,-87
7.10604,00:04,14,-105
7.50584,00:02,15,-65
7.5549,00:03,15,-87
7.60669,00:04,15,-105
8.00507,00:02,16,-66
8.05469,00:03,16,-87
8.10496,00:04,16,-105
8.50404,00:02,17,-67
8.55425,00:03,17,-87
8.60593,00:04,17,-105
9.0042,00:02,18,-67
9.05492,00:03,18,-87
9.10496,00:04,18,-105
9.50628,00:02,19,-68
9.55464,00:03,19,-87
9.60494,00:04,19,-105
10.0049,00:02,20,-69
10.0577,00:03,20,-86
10.1073,00:04,20,-105
10.5041,00:02,21,-69
10.556,00:03,21,-86
10.6048,00:04,21,-105
11.0044,00:02,22,-70
11.0545,00:03,22,-86
11.1071,00:04,22,-105
11.5046,00:02,23,-70
11.5546,00:03,23,-86
11.6047,00:04,23,-105
12.0051,00:02,24,-70
12.0539,00:03,24,-86
12.1051,00:04,24,-105
12.5041,00:02,25,-71
12.5547,00:03,25,-86
12.6044,00:04,25,-105
13.0029,00:02,26,-71
13.0544,00:03,26,-86
13.1054,00:04,26,-105
13.5039,00:02,27,-72
13.5549,00:03,27,-86
13.6045,00:04,27,-105
14.0048,00:02,28,-72
14.0551,00:03,28,-86
14.1062,00:04,28,-105
14.504,00:02,29,-72
14.5543,00:03,29,-86
14.605,00:04,29,-105
15.0048,00:02,30,-72
15.0545,00:03,30,-85
15.1064,00:04,30,-105
15.5047,00:02,31,-73
15.5552,00:03,31,-85
15.6046,00:04,31,-105
16.004,00:02,32,-73
16.0563,00:03,32,-85
16.1052,00:04,32,-105
16.5052,00:02,33,-73
16.5555,00:03,33,-85
16.6043,00:04,33,-105
17.0051,00:02,34,-74
17.0553,00:03,34,-85
17.1057,00:04,34,-104
17.5037,00:02,35,-74
17.5558,00:03,35,-85
17.6053,00:04,35,-104
18.0049,00:02,36,-74
18.0559,00:03,36,-85
18.1057,00:04,36,-104
18.5034,00:02,37,-74
18.5543,00:03,37,-85
18.6061,00:04,37,-104
19.0045,00:02,38,-75
19.0558,00:03,38,-85
19.1063,00:04,38,-104
19.504,00:02,39,-75
19.5564,00:03,39,-85
19.6048,00:04,39,-104
20.006,00:02,40,-75
20.0563,00:03,40,-84
20.1057,00:04,40,-104
20.5038,00:02,41,-75
20.5551,00:03,41,-84
20.6068,00:04,41,-104
21.0053,00:02,42,-75
21.0573,00:03,42,-84
21.1054,00:04,42,-104
21.504,00:02,43,-76
21.555,00:03,43,-84
21.6044,00:04,43,-104
22.0055,00:02,44,-76
22.0555,00:03,44,-84
22.1056,00:04,44,-104
22.5051,00:02,45,-76
22.5559,00:03,45,-84
22.6061,00:04,45,-104
23.006,00:02,46,-76
23.0576,00:03,46,-84
23.1053,00:04,46,-104
23.5029,00:02,47,-77
23.5569,00:03,47,-84
23.6067,00:04,47,-104
24.0028,00:02,48,-77
24.0553,00:03,48,-84
24.1079,00:04,48,-104
24.5047,00:02,49,-77
24.5562,00:03,49,-83
24.6065,00:04,49,-104
25.0032,00:02,50,-77
25.0569,00:03,50,-83
25.1049,00:04,50,-104
25.5037,00:02,51,-78
25.5558,00:03,51,-83
25.6063,00:04,51,-104
26.0039,00:02,52,-78
26.0552,00:03,52,-83
26.1051,00:04,52,-104
26.5034,00:02,53,-78
26.5553,00:03,53,-83
26.606,00:04,53,-104
27.0043,00:02,54,-79
27.0557,00:03,54,-83
27.1061,00:04,54,-104
27.5032,00:02,55,-79
27.5561,00:03,55,-83
27.6067,00:04,55,-104
28.0037,00:02,56,-79
28.056,00:03,56,-83
28.1044,00:04,56,-104
28.5052,00:02,57,-79
28.5553,00:03,57,-83
28.6053,00:04,57,-104
29.0048,00:02,58,-80
29.0543,00:03,58,-82
29.105,00:04,58,-104
29.5055,00:02,59,-80
29.5552,00:03,59,-82
29.6061,00:04,59,-104
30.0038,00:02,60,-80
30.0559,00:03,60,-82
30.1043,00:04,60,-104
30.5041,00:02,61,-81
30.5539,00:03,61,-82
30.6042,00:04,61,-104
31.0054,00:02,62,-81
31.0568,00:03,62,-82
31.1052,00:04,62,-104
31.5029,00:02,63,-81
31.554,00:03,63,-82
31.6057,00:04,63,-104
32.004,00:02,64,-81
32.0547,00:03,64,-82
32.1073,00:04,64,-104
32.5041,00:02,65,-82
32.5568,00:03,65,-82
32.6039,00:04,65,-104
33.0031,00:02,66,-82
33.0542,00:03,66,-82
33.1072,00:04,66,-104
33.5029,00:02,67,-82
33.5546,00:03,67,-81
33.6067,00:04,67,-104
34.0023,00:02,68,-82
34.0545,00:03,68,-81
34.1057,00:04,68,-104
34.5052,00:02,69,-83
34.5562,00:03,69,-81
34.6054,00:04,69,-104
35.0036,00:02,70,-83
35.0564,00:03,70,-81
