Time_s,Src_MAC,Seq_Num,RSSI_dBm
0.00909169,00:02,0,-61
0.0564767,00:03,0,-96
0.105988,00:04,0,-99
0.506746,00:02,1,-62
0.557518,00:03,1,-96
0.604113,00:04,1,-99
1.00842,00:02,2,-62
1.05673,00:03,2,-96
1.10677,00:04,2,-99
1.5084,00:02,3,-63
1.55832,00:03,3,-96
1.60458,00:04,3,-99
2.00587,00:02,4,-64
2.05661,00:03,4,-96
2.10424,00:04,4,-99
2.50742,00:02,5,-65
2.5583,00:03,5,-96
2.60633,00:04,5,-99
3.00813,00:02,6,-66
3.05839,00:03,6,-95
3.10601,00:04,6,-99
3.50834,00:02,7,-67
3.55854,00:03,7,-95
3.60424,00:04,7,-99
4.00633,00:02,8,-67
4.05599,00:03,8,-95
4.10522,00:04,8,-99
4.50787,00:02,9,-68
4.55728,00:03,9,-95
4.60397,00:04,9,-98
5.00836,00:02,10,-69
5.05855,00:03,10,-95
5.10475,00:04,10,-98
5.50724,00:02,11,-70
5.55968,00:03,11,-95
5.60379,00:04,11,-98
6.00789,00:02,12,-71
6.05865,00:03,12,-95
6.10434,00:04,12,-98
6.5067,00:02,13,-71
6.55684,00:03,13,-95
6.60499,00:04,13,-98
7.00766,00:02,14,-72
7.05873,00:03,14,-95
7.10588,00:04,14,-98
7.50915,00:02,15,-72
7.5586,00:03,15,-95
7.60498,00:04,15,-98
8.00858,00:02,16,-73
8.05739,00:03,16,-95
8.10574,00:04,16,-98
8.50903,00:02,17,-74
8.55787,00:03,17,-95
8.60516,00:04,17,-98
9.00762,00:02,18,-74
9.05864,00:03,18,-94
9.1053,00:04,18,-98
9.50928,00:02,19,-75
9.55664,00:03,19,-94
9.60425,00:04,19,-98
10.0081,00:02,20,-75
10.0591,00:03,20,-94
10.1043,00:04,20,-98
10.5085,00:02,21,-76
10.5585,00:03,21,-94
10.6054,00:04,21,-98
11.0072,00:02,22,-76
11.0572,00:03,22,-94
11.1066,00:04,22,-98
11.5088,00:02,23,-77
11.5573,00:03,23,-94
11.6037,00:04,23,-98
12.0092,00:02,24,-77
12.0569,00:03,24,-94
12.1035,00:04,24,-98
12.5083,00:02,25,-78
12.5564,00:03,25,-94
12.6044,00:04,25,-98
13.0093,00:02,26,-78
13.0584,00:03,26,-94
13.1063,00:04,26,-98
13.5081,00:02,27,-78
13.5579,00:03,27,-94
13.6046,00:04,27,-98
14.0073,00:02,28,-79
14.0574,00:03,28,-93
14.1046,00:04,28,-97
14.5081,00:02,29,-79
14.5587,00:03,29,-93
14.6041,00:04,29,-97
15.0086,00:02,30,-79
15.0586,00:03,30,-93
15.1059,00:04,30,-97
15.5083,00:02,31,-80
15.5563,00:03,31,-93
15.6047,00:04,31,-97
16.007,00:02,32,-80
16.0577,00:03,32,-93
16.1039,00:04,32,-97
16.5067,00:02,33,-80
16.5571,00:03,33,-93
16.6051,00:04,33,-97
17.0073,00:02,34,-80
17.0572,00:03,34,-93
17.1043,00:04,34,-97
17.5095,00:02,35,-81
17.5574,00:03,35,-93
17.6045,00:04,35,-97
18.0077,00:02,36,-81
18.0574,00:03,36,-93
18.105,00:04,36,-97
18.5079,00:02,37,-81
18.5587,00:03,37,-93
18.6054,00:04,37,-97
19.0075,00:02,38,-81
19.057,00:03,38,-92
19.1031,00:04,38,-97
19.5076,00:02,39,-82
19.5582,00:03,39,-92
19.604,00:04,39,-97
20.0088,00:02,40,-82
20.0575,00:03,40,-92
20.1039,00:04,40,-97
20.5071,00:02,41,-82
20.5581,00:03,41,-92
20.6051,00:04,41,-97
21.007,00:02,42,-82
21.0574,00:03,42,-92
21.1045,00:04,42,-97
21.5066,00:02,43,-83
21.5572,00:03,43,-92
21.6058,00:04,43,-97
22.0089,00:02,44,-83
22.058,00:03,44,-92
22.1051,00:04,44,-97
22.5075,00:02,45,-83
22.5585,00:03,45,-92
22.6058,00:04,45,-97
23.0095,00:02,46,-83
23.0588,00:03,46,-92
23.1032,00:04,46,-97
23.5075,00:02,47,-83
23.5586,00:03,47,-92
23.6054,00:04,47,-97
24.0077,00:02,48,-84
24.0587,00:03,48,-91
24.1057,00:04,48,-97
24.5083,00:02,49,-84
24.558,00:03,49,-91
24.604,00:04,49,-97
25.0069,00:02,50,-84
25.0568,00:03,50,-91
25.105,00:04,50,-97
25.507,00:02,51,-84
25.559,00:03,51,-91
25.604,00:04,51,-97
26.0078,00:02,52,-85
26.0559,00:03,52,-91
26.1044,00:04,52,-97
26.5072,00:02,53,-85
26.5576,00:03,53,-91
26.6033,00:04,53,-97
27.0095,00:02,54,-85
27.0575,00:03,54,-91
27.106,00:04,54,-97
27.5075,00:02,55,-86
27.5588,00:03,55,-91
27.605,00:04,55,-97
28.0087,00:02,56,-86
28.0578,00:03,56,-91
28.1059,00:04,56,-97
28.5085,00:02,57,-86
28.5576,00:03,57,-90
28.6062,00:04,57,-97
29.0065,00:02,58,-87
29.056,00:03,58,-90
29.1047,00:04,58,-97
29.509,00:02,59,-87
29.5581,00:03,59,-90
29.606,00:04,59,-97
30.0089,00:02,60,-87
30.0582,00:03,60,-90
30.1039,00:04,60,-97
30.5073,00:02,61,-87
30.5575,00:03,61,-90
30.6053,00:04,61,-97
31.0084,00:02,62,-88
31.057,00:03,62,-90
31.1065,00:04,62,-97
31.5085,00:02,63,-88
31.5575,00:03,63,-90
31.6035,00:04,63,-97
32.0091,00:02,64,-88
32.0557,00:03,64,-90
32.1037,00:04,64,-97
32.5087,00:02,65,-88
32.5577,00:03,65,-89
32.604,00:04,65,-97
33.0067,00:02,66,-89
33.0583,00:03,66,-89
33.1045,00:04,66,-97
33.5089,00:02,67,-89
33.557,00:03,67,-89
33.6051,00:04,67,-97
34.007,00:02,68,-89
34.0583,00:03,68,-89
34.104,00:04,68,-97
34.5083,00:02,69,-89
34.5592,00:03,69,-89
34.6034,00:04,69,-97
35.0079,00:02,70,-90
35.0574,00:03,70,-89
35.1045,00:04,70,-97
35.508,00:02,71,-90
35.5575,00:03,71,-89
35.6051,00:04,71,-97
36.0082,00:02,72,-90
36.0576,00:03,72,-89
36.1053,00:04,72,-97
36.5097,00:02,73,-90
36.5582,00:03,73,-89
36.6038,00:04,73,-97
37.0062,00:02,74,-91
37.0569,00:03,74,-88
37.105,00:04,74,-97
37.5092,00:02,75,-91
37.5572,00:03,75,-88
37.606,00:04,75,-97
38.0083,00:02,76,-91
38.0593,00:03,76,-88
38.1035,00:04,76,-97
38.5083,00:02,77,-91
38.5578,00:03,77,-88
38.6047,00:04,77,-96
39.0072,00:02,78,-92
39.0586,00:03,78,-88
39.106,00:04,78,-96
39.5077,00:02,79,-92
39.5595,00:03,79,-88
39.6064,00:04,79,-96
40.0094,00:02,80,-92
40.0579,00:03,80,-88
40.1065,00:04,80,-96
40.5075,00:02,81,-92
40.5587,00:03,81,-87
40.6062,00:04,81,-96
41.0077,00:02,82,-92
41.0593,00:03,82,-87
41.1049,00:04,82,-96
41.5085,00:02,83,-93
41.5583,00:03,83,-87
41.6055,00:04,83,-96
42.0079,00:02,84,-93
42.0574,00:03,84,-87
42.1066,00:04,84,-96
42.5081,00:02,85,-93
42.5582,00:03,85,-87
42.606,00:04,85,-97
43.007,00:02,86,-93
43.0577,00:03,86,-87
43.106,00:04,86,-97
43.5075,00:02,87,-93
43.5588,00:03,87,-87
43.6049,00:04,87,-97
44.0093,00:02,88,-93
44.0571,00:03,88,-87
44.1065,00:04,88,-97
44.5074,00:02,89,-93
44.5578,00:03,89,-87
44.6046,00:04,89,-97
45.0083,00:02,90,-94
45.0578,00:03,90,-86
45.1071,00:04,90,-97
45.5068,00:02,91,-94
45.5571,00:03,91,-86
45.606,00:04,91,-97
46.0059,00:02,92,-94
46.0581,00:03,92,-86
46.1051,00:04,92,-97
46.5097,00:02,93,-94
46.557,00:03,93,-86
46.6045,00:04,93,-97
47.0066,00:02,94,-94
47.0572,00:03,94,-86
47.1065,00:04,94,-97
47.506,00:02,95,-94
47.5582,00:03,95,-86
47.6049,00:04,95,-97
48.0078,00:02,96,-94
48.0564,00:03,96,-86
48.1064,00:04,96,-97
48.5073,00:02,97,-94
48.5566,00:03,97,-86
48.6046,00:04,97,-98
49.0083,00:02,98,-94
49.0579,00:03,98,-86
49.1051,00:04,98,-98
49.5074,00:02,99,-94
49.559,00:03,99,-86
49.6072,00:04,99,-98
50.0098,00:02,100,-94
50.0573,00:03,100,-87
50.1038,00:04,100,-98
50.5078,00:02,101,-94
50.5586,00:03,101,-86
50.6061,00:04,101,-98
51.0071,00:02,102,-94
51.0579,00:03,102,-86
51.107,00:04,102,-98
51.5071,00:02,103,-94
51.5593,00:03,103,-86
51.6053,00:04,103,-98
52.0081,00:02,104,-94
52.0576,00:03,104,-86
52.1045,00:04,104,-98
52.508,00:02,105,-95
52.5586,00:03,105,-86
52.6043,00:04,105,-98
53.0089,00:02,106,-95
53.0583,00:03,106,-86
53.1041,00:04,106,-98
53.5063,00:02,107,-95
53.5561,00:03,107,-86
53.6059,00:04,107,-98
54.0083,00:02,108,-95
54.0581,00:03,108,-85
54.1059,00:04,108,-98
54.5083,00:02,109,-95
54.5565,00:03,109,-85
54.6063,00:04,109,-98
55.0079,00:02,110,-95
55.0573,00:03,110,-85
55.1038,00:04,110,-98
55.5085,00:02,111,-96
55.5596,00:03,111,-85
55.6069,00:04,111,-98
56.0072,00:02,112,-96
56.0576,00:03,112,-85
56.1044,00:04,112,-98
56.5073,00:02,113,-96
56.5573,00:03,113,-85
56.6048,00:04,113,-98
57.0084,00:02,114,-96
57.0563,00:03,114,-85
57.1038,00:04,114,-98
57.5085,00:02,115,-96
57.5571,00:03,115,-84
57.6051,00:04,115,-98
58.008,00:02,116,-96
58.0568,00:03,116,-84
58.1054,00:04,116,-98
58.5063,00:02,117,-97
58.5566,00:03,117,-84
58.6062,00:04,117,-98
59.0097,00:02,118,-97
59.0563,00:03,118,-84
59.107,00:04,118,-98
59.5078,00:02,119,-97
59.5573,00:03,119,-84
59.606,00:04,119,-98
60.0077,00:02,120,-97
60.0585,00:03,120,-84
60.1061,00:04,120,-98
60.5073,00:02,121,-97
